,feature,importance
611,VFD215_SW_Torque,0.0
612,VFD220_CB_Start,0.0
613,VFD220_CW_StatusCode,0.0
501,VFD160_SW_Current,0.0
533,VFD175_SW_DriveTemp,0.0
600,VFD210_SB_Runing,0.0
599,VFD210_OL_TrimSpeed,0.0
588,VFD205_CB_Start,0.0
506,VFD165_CW_StatusCode,0.0
589,VFD205_CW_StatusCode,0.0
505,VFD165_CB_Start,0.0
590,VFD205_SB_Runing,0.0
504,VFD160_SW_Torque,0.0
591,VFD205_SW_Current,0.0
592,VFD205_SW_DriveTemp,0.0
593,VFD205_SW_Speed,0.0
594,VFD205_SW_Torque,0.0
595,VFD210_CB_Start,0.0
503,VFD160_SW_Speed,0.0
596,VFD210_CW_StatusCode,0.0
502,VFD160_SW_DriveTemp,0.0
598,VFD210_OL_Trim,0.0
496,VFD160_CW_StatusCode,0.0
615,VFD220_OL_Trim,0.0
586,VFD200_SW_Speed,0.0
495,VFD160_CB_Start,0.0
628,VFD225_SW_Torque,0.0
629,VFD230_CB_Start,0.0
630,VFD230_CW_StatusCode,0.0
487,VFD155_Fault_Thermal,0.0
486,VFD155_Fault_General,0.0
485,VFD155_Fault_Disc,0.0
484,VFD155_CW_StatusCode,0.0
483,VFD155_CB_Start,0.0
632,VFD230_OL_Trim,0.0
633,VFD230_OL_TrimSpeed,0.0
634,VFD230_SB_Runing,0.0
635,VFD230_SW_Current,0.0
482,VFD150_SW_Torque,0.0
636,VFD230_SW_DriveTemp,0.0
481,VFD150_SW_Speed,0.0
488,VFD155_SB_Permissive,0.0
627,VFD225_SW_Speed,0.0
489,VFD155_SB_Ready,0.0
621,VFD220_SW_Torque,0.0
616,VFD220_OL_TrimSpeed,0.0
617,VFD220_SB_Runing,0.0
494,VFD155_SW_Torque,0.0
493,VFD155_SW_Speed,0.0
619,VFD220_SW_DriveTemp,0.0
620,VFD220_SW_Speed,0.0
492,VFD155_SW_DriveTemp,0.0
490,VFD155_SB_Runing,0.0
622,VFD225_CB_Start,0.0
623,VFD225_CW_StatusCode,0.0
624,VFD225_SB_Runing,0.0
625,VFD225_SW_Current,0.0
27,120_LT_236\PV,0.0
626,VFD225_SW_DriveTemp,0.0
507,VFD165_OL_Feedback,0.0
509,VFD165_OL_TrimSpeed,0.0
532,VFD175_SW_Current,0.0
546,VFD180_SW_Torque,0.0
547,VFD185_CB_Start,0.0
525,VFD170_SW_Torque,0.0
548,VFD185_CW_StatusCode,0.0
524,VFD170_SW_Speed,0.0
549,VFD185_OL_Feedback,0.0
523,VFD170_SW_DriveTemp,0.0
550,VFD185_OL_RunSP,0.0
551,VFD185_OL_Trim,0.0
522,VFD170_SW_Current,0.0
521,VFD170_SB_Runing,0.0
552,VFD185_OL_TrimSpeed,0.0
553,VFD185_SB_Runing,0.0
554,VFD185_SW_Current,0.0
555,VFD185_SW_DriveTemp,0.0
556,VFD185_SW_Speed,0.0
526,VFD175_CB_Start,0.0
527,VFD175_CW_StatusCode,0.0
520,VFD170_OL_TrimSpeed,0.0
528,VFD175_OL_Feedback,0.0
534,VFD175_SW_Speed,0.0
535,VFD175_SW_Torque,0.0
536,VFD180_CB_Start,0.0
537,VFD180_CW_StatusCode,0.0
538,VFD180_OL_Feedback,0.0
539,VFD180_OL_RunSP,0.0
540,VFD180_OL_Trim,0.0
541,VFD180_OL_TrimSpeed,0.0
531,VFD175_SB_Runing,0.0
542,VFD180_SB_Runing,0.0
543,VFD180_SW_Current,0.0
530,VFD175_OL_TrimSpeed,0.0
544,VFD180_SW_DriveTemp,0.0
545,VFD180_SW_Speed,0.0
529,VFD175_OL_Trim,0.0
557,VFD185_SW_Torque,0.0
558,VFD190_CB_Start,0.0
585,VFD200_SW_DriveTemp,0.0
19,120_LT_228\PV,0.0
573,VFD195_SB_Runing,0.0
574,VFD195_SW_Current,0.0
512,VFD165_SW_DriveTemp,0.0
24,120_LT_233\PV,0.0
575,VFD195_SW_DriveTemp,0.0
510,VFD165_SB_Runing,0.0
576,VFD195_SW_Speed,0.0
577,VFD195_SW_Torque,0.0
578,VFD200_CB_Start,0.0
579,VFD200_CW_StatusCode,0.0
580,VFD200_OL_Feedback,0.0
581,VFD200_OL_Trim,0.0
582,VFD200_OL_TrimSpeed,0.0
583,VFD200_SB_Runing,0.0
584,VFD200_SW_Current,0.0
513,VFD165_SW_Speed,0.0
572,VFD195_OL_TrimSpeed,0.0
559,VFD190_CW_StatusCode,0.0
571,VFD195_OL_Trim,0.0
17,120_LT_226\PV,0.0
518,VFD170_OL_RunSP,0.0
560,VFD190_OL_Feedback,0.0
561,VFD190_OL_Trim,0.0
562,VFD190_OL_TrimSpeed,0.0
638,VFD230_SW_Torque,0.0
563,VFD190_SB_Runing,0.0
564,VFD190_SW_Current,0.0
516,VFD170_CW_StatusCode,0.0
515,VFD170_CB_Start,0.0
566,VFD190_SW_Speed,0.0
567,VFD190_SW_Torque,0.0
568,VFD195_CB_Start,0.0
569,VFD195_CW_StatusCode,0.0
16,120_LT_225\PV,0.0
637,VFD230_SW_Speed,0.0
88,205_LT_131\PV,0.0
639,VFD235_CB_Start,0.0
779,VFD310_CW_StatusCode,0.0
758,VFD300_CB_Start,0.0
759,VFD300_CW_StatusCode,0.0
760,VFD300_SB_NonProdOn,0.0
761,VFD300_SB_Runing,0.0
762,VFD300_SB_Running,0.0
8,120_LT_031\PV,0.0
764,VFD300_SW_DriveTemp,0.0
765,VFD300_SW_Speed,0.0
766,VFD300_SW_Torque,0.0
767,VFD305_CB_ENBNonProd,0.0
768,VFD305_CB_Start,0.0
769,VFD305_CW_StatusCode,0.0
770,VFD305_SB_NonProdOn,0.0
771,VFD305_SB_Runing,0.0
772,VFD305_SB_Running,0.0
774,VFD305_SW_DriveTemp,0.0
775,VFD305_SW_Speed,0.0
776,VFD305_SW_Torque,0.0
777,VFD310_CB_ENBNonProd,0.0
757,VFD300_CB_ENBNonProd,0.0
756,VFD295_SW_Torque,0.0
755,VFD295_SW_Speed,0.0
744,VFD290_CW_StatusCode,0.0
736,VFD285_OL_Trim,0.0
737,VFD285_OL_TrimSpeed,0.0
738,VFD285_SB_Runing,0.0
10,120_LT_033\PV,0.0
740,VFD285_SW_DriveTemp,0.0
741,VFD285_SW_Speed,0.0
742,VFD285_SW_Torque,0.0
743,VFD290_CB_Start,0.0
745,VFD290_SB_Runing,0.0
754,VFD295_SW_DriveTemp,0.0
746,VFD290_SW_Current,0.0
747,VFD290_SW_DriveTemp,0.0
748,VFD290_SW_Speed,0.0
749,VFD290_SW_Torque,0.0
750,VFD295_CB_Start,0.0
751,VFD295_CW_StatusCode,0.0
752,VFD295_SB_Runing,0.0
753,VFD295_SW_Current,0.0
778,VFD310_CB_Start,0.0
780,VFD310_SB_NonProdOn,0.0
640,VFD235_CW_StatusCode,0.0
781,VFD310_SB_Runing,0.0
804,VFD325_CB_Start,0.0
805,VFD325_CW_StatusCode,0.0
806,VFD325_SB_Runing,0.0
807,VFD325_SW_Current,0.0
808,VFD325_SW_DriveTemp,0.0
809,VFD325_SW_Speed,0.0
810,VFD325_SW_Torque,0.0
811,WIcking_Belt_Flow,0.0
812,WW_North_Palletizer_3x3_Selector,0.0
813,WW_South_Palletizer_3x3_Selector,0.0
4,120_DPT_053\PV,0.0
2,100_TE_010\PV,0.0
816,tusCoatingLineEntry.ProductID,0.0
817,tusCoatingLineExit.ExitSquares,0.0
819,tusCoatingLineUCO.CurrentPerformancePercent,0.0
820,tusCoatingLineUCO.CurrentQualityPercent,0.0
821,tusCoatingLineUCO.CurrentUtilizationPercent,0.0
822,winspc_color_NUMBER,0.0
823,ww_218_north_delay,0.0
803,VFD320_SW_Torque,0.0
802,VFD320_SW_Speed,0.0
801,VFD320_SW_DriveTemp,0.0
790,VFD315_SB_NonProdOn,0.0
782,VFD310_SB_Running,0.0
783,VFD310_SW_Current,0.0
784,VFD310_SW_DriveTemp,0.0
785,VFD310_SW_Speed,0.0
786,VFD310_SW_Torque,0.0
787,VFD315_CB_ENBNonProd,0.0
788,VFD315_CB_Start,0.0
789,VFD315_CW_StatusCode,0.0
791,VFD315_SB_Runing,0.0
800,VFD320_SW_Current,0.0
792,VFD315_SB_Running,0.0
793,VFD315_SW_Current,0.0
794,VFD315_SW_DriveTemp,0.0
795,VFD315_SW_Speed,0.0
796,VFD315_SW_Torque,0.0
797,VFD320_CB_Start,0.0
798,VFD320_CW_StatusCode,0.0
799,VFD320_SB_Runing,0.0
735,VFD285_OL_Feedback,0.0
734,VFD285_CW_StatusCode,0.0
733,VFD285_CB_Start,0.0
732,VFD280_SW_Torque,0.0
665,VFD245_SW_DriveTemp,0.0
666,VFD245_SW_Speed,0.0
667,VFD245_SW_Torque,0.0
668,VFD250_CB_Start,0.0
669,VFD250_CW_StatusCode,0.0
670,VFD250_OL_Feedback,0.0
672,VFD250_OL_TrimSpeed,0.0
673,VFD250_SB_Runing,0.0
12,120_LT_221\PV,0.0
675,VFD250_SW_DriveTemp,0.0
676,VFD250_SW_Speed,0.0
677,VFD250_SW_Torque,0.0
678,VFD255_CB_Start,0.0
679,VFD255_CW_StatusCode,0.0
681,VFD255_OL_Trim,0.0
682,VFD255_OL_TrimSpeed,0.0
683,VFD255_SB_Runing,0.0
684,VFD255_SW_Current,0.0
685,VFD255_SW_DriveTemp,0.0
664,VFD245_SW_Current,0.0
663,VFD245_SB_Runing,0.0
662,VFD245_OL_TrimSpeed,0.0
649,VFD240_OL_RunSP,0.0
641,VFD235_SB_Runing,0.0
642,VFD235_SW_Current,0.0
643,VFD235_SW_DriveTemp,0.0
644,VFD235_SW_Speed,0.0
645,VFD235_SW_Torque,0.0
646,VFD240_CB_Start,0.0
647,VFD240_CW_StatusCode,0.0
15,120_LT_224\PV,0.0
650,VFD240_OL_Trim,0.0
661,VFD245_OL_Trim,0.0
652,VFD240_SB_Runing,0.0
654,VFD240_SW_DriveTemp,0.0
655,VFD240_SW_Speed,0.0
656,VFD240_SW_Torque,0.0
657,VFD245_CB_Start,0.0
658,VFD245_CW_StatusCode,0.0
659,VFD245_OL_Feedback,0.0
660,VFD245_OL_RunSP,0.0
686,VFD255_SW_Speed,0.0
687,VFD255_SW_Torque,0.0
688,VFD260_CB_Start,0.0
722,VFD275_SW_Torque,0.0
713,VFD270_SW_DriveTemp,0.0
714,VFD270_SW_Speed,0.0
716,VFD275_CB_Start,0.0
717,VFD275_CW_StatusCode,0.0
718,VFD275_SB_Runing,0.0
719,VFD275_SW_Current,0.0
720,VFD275_SW_DriveTemp,0.0
721,VFD275_SW_Speed,0.0
723,VFD280_CB_Start,0.0
711,VFD270_SB_Runing,0.0
724,VFD280_CW_StatusCode,0.0
725,VFD280_OL_Feedback,0.0
726,VFD280_OL_Trim,0.0
727,VFD280_OL_TrimSpeed,0.0
728,VFD280_SB_Runing,0.0
729,VFD280_SW_Current,0.0
730,VFD280_SW_DriveTemp,0.0
731,VFD280_SW_Speed,0.0
712,VFD270_SW_Current,0.0
710,VFD270_CW_StatusCode,0.0
689,VFD260_CW_DiamComp,0.0
699,VFD265_CB_Start,0.0
690,VFD260_CW_StatusCode,0.0
691,VFD260_OL_Feedback,0.0
693,VFD260_OL_TrimSpeed,0.0
694,VFD260_SB_Runing,0.0
695,VFD260_SW_Current,0.0
696,VFD260_SW_DriveTemp,0.0
697,VFD260_SW_Speed,0.0
698,VFD260_SW_Torque,0.0
700,VFD265_CW_StatusCode,0.0
709,VFD270_CB_Start,0.0
701,VFD265_OL_Feedback,0.0
702,VFD265_OL_Trim,0.0
703,VFD265_OL_TrimSpeed,0.0
704,VFD265_SB_Runing,0.0
705,VFD265_SW_Current,0.0
706,VFD265_SW_DriveTemp,0.0
707,VFD265_SW_Speed,0.0
708,VFD265_SW_Torque,0.0
480,VFD150_SW_SectionStatusCode,0.0
456,Transfer_Pump_low_flow,0.0
478,VFD150_SW_Current,0.0
220,370_TE_032\PV,0.0
210,355_MTR_031\MtrCurrnt,0.0
212,355_TE_020\PV,0.0
214,355_TT_050\PV,0.0
76,135_TE_040\PV,0.0
216,370_MTR_010\MtrCurrnt,0.0
217,370_MTR_065\MtrCurrnt,0.0
218,370_MTR_070\MtrCurrnt,0.0
219,370_TE_031\PV,0.0
221,370_TE_033\PV,0.0
208,355_MTR_011\MtrCurrnt,0.0
222,370_TE_034\PV,0.0
223,370_TE_051\PV,0.0
225,370_TE_053\PV,0.0
75,135_TE_020\PV,0.0
74,135_LT_040\PV,0.0
229,515_MTR_015\MtrCurrnt,0.0
230,515_VFD_020\PctFLA,0.0
231,515_VFD_030\OutputFreq,0.0
209,355_MTR_021\MtrCurrnt,0.0
206,340_VFD_010\FreqSp,0.0
280,A1_Delivery_Belt_observed_Speed,0.0
195,340_MTR_021\MtrCurrnt,0.0
185,325_VFD_20\Current,0.0
187,325_VFD_20\FreqSp,0.0
188,325_ZIT_041\PV,0.0
189,325_ZIT_042\PV,0.0
191,330_E3_005\AVGPercentFLA,0.0
192,330_VFD_40\PctFLA,0.0
193,330_ZT_010,0.0
194,340_MTR_020\MtrCurrnt,0.0
196,340_MTR_031\MtrCurrnt,0.0
205,340_VFD_010\Freq,0.0
197,340_MTR_041\MtrCurrnt,0.0
198,340_PC_21H\PV,0.0
199,340_PIT_021\PV,0.0
200,340_PIT_022\PV,0.0
201,340_PT_21H\PV,0.0
202,340_PT_22H\PV,0.0
203,340_P_22HE\PV,0.0
78,205_E3_300\AVGPercentFLA,0.0
233,515_VFD_040\PctFLA,0.0
234,515_VFD_060\PctFLA,0.0
235,515_VFD_070\PctFLA,0.0
268,815_VL_036\Solenoid,0.0
260,815_VLV_018A\Solenoid,0.0
261,815_VLV_018B\Solenoid,0.0
262,815_VLV_021A\Solenoid,0.0
263,815_VLV_022\Solenoid,0.0
264,815_VLV_023\Solenoid,0.0
265,815_VLV_024\Solenoid,0.0
266,815_VLV_025\Solenoid,0.0
267,815_VLV_026\Solenoid,0.0
269,815_VL_037\Solenoid,0.0
73,135_LT_020\PV,0.0
270,815_VL_040\Solenoid,0.0
271,825_PIT_120\PV,0.0
69,130_TE_011\PV,0.0
273,855_LT_020\PV,0.0
274,855_PIT_030\PV,0.0
275,855_TE_050\PV,0.0
276,855_TI_230,0.0
278,860_PT_110\PV,0.0
259,815_VLV_017B\Solenoid,0.0
258,815_VLV_017A\Solenoid,0.0
257,815_VLV_015B\Solenoid,0.0
256,815_VF_070\OutputFreq,0.0
237,530MTR020\Run,0.0
238,630MTR020\Run,0.0
239,655_MTR_300_Speed_SP,0.0
240,710_PC_105\PV,0.0
241,710_PT_110\PV,0.0
242,710_PT_115\PV,0.0
243,710_VFD_120\Freq,0.0
244,710_VFD_120\FreqSp,0.0
246,715_DPT_012\PV,0.0
247,715_MTR_015\MtrCurrnt,0.0
248,715_VFD_011\Current,0.0
249,815_PIT_110\PV,0.0
72,130_VLV_012A\Solenoid,0.0
252,815_PT_71,0.0
71,130_VLV_011A\Solenoid,0.0
254,815_VFD_200\Current,0.0
70,130_TE_012\PV,0.0
184,315_ZSH_030,0.0
183,300_XY_005,0.0
182,300_XS_750E,0.0
119,215_TE_060\PV,0.0
111,205_WT_328,0.0
112,205_WT_329,0.0
113,205_WT_330,0.0
114,210_DPT_010\PV,0.0
115,210_VFD_020\Current,0.0
116,210_VFD_020\Freq,0.0
117,210_VFD_020\FreqSp,0.0
118,215_TE_050\PV,0.0
120,215_VFD_010\Current,0.0
131,220_TC_130A\PV,0.0
121,215_VFD_010\Freq,0.0
122,215_VFD_010\FreqSp,0.0
123,220_FV130A\PV,0.0
124,220_FV130A\SP,0.0
125,220_FV130B\PV,0.0
126,220_FV140A\OUT,0.0
127,220_FV140A\PV,0.0
128,220_MTR_152\MtrCurrnt,0.0
110,205_WT_327,0.0
109,205_WT_326,0.0
108,205_WT_325,0.0
107,205_WT_324,0.0
90,205_MTR_040\MtrCurrnt,0.0
91,205_MTR_100\MtrCurrnt,0.0
92,205_MTR_201\MtrCurrnt,0.0
93,205_MTR_240\MtrCurrnt,0.0
94,205_MTR_410\MtrCurrnt,0.0
95,205_MTR_455\MtrCurrnt,0.0
96,205_MTR_457\MtrCurrnt,0.0
97,205_MTR_460\MtrCurrnt,0.0
98,205_MTR_465\MtrCurrnt,0.0
99,205_MTR_470\MtrCurrnt,0.0
100,205_MTR_475\MtrCurrnt,0.0
101,205_MTR_510\MtrCurrnt,0.0
102,205_MTR_511\MtrCurrnt,0.0
103,205_WT_121,0.0
104,205_WT_131,0.0
105,205_WT_322,0.0
106,205_WT_323,0.0
130,220_PT_150\PV,0.0
132,220_TC_130B\PV,0.0
181,300_XS_750C,0.0
168,230_TE_070\PV,0.0
83,205_E3_450\AVGPercentFLA,0.0
158,230_PT_050\PV,0.0
82,205_E3_440\AVGPercentFLA,0.0
160,230_TE_002\PV,0.0
81,205_E3_420\AVGPercentFLA,0.0
163,230_TE_030\PV,0.0
164,230_TE_045\PV,0.0
165,230_TE_050\PV,0.0
79,205_E3_410\AVGPercentFLA,0.0
133,220_TC_131\PV,0.0
172,230_VFD_010\FreqSp,0.0
173,230_VFD_040\Current,0.0
174,230_VFD_050\Current,0.0
175,230_VFD_050\Freq,0.0
176,230_VFD_050\FreqSp,0.0
177,230_VFD_051\Current,0.0
178,230_VFD_070\Current,0.0
180,230_VFD_070\FreqSp,0.0
156,230_MTR_010_Outerloop,0.0
84,205_E3_510\AVGPercentFLA,0.0
85,205_E3_511\AVGPercentFLA,0.0
153,230_FT_030_Total_Month_Every_Sec,0.0
135,220_TC_150B\PV,0.0
136,220_TE_020A,0.0
137,220_TE_130\PV,0.0
138,220_TE_131\PV,0.0
139,220_TE_150\PV,0.0
140,220_VFD_020\Current,0.0
141,220_VFD_020\Freq,0.0
142,220_VFD_020\FreqSp,0.0
143,220_VFD_040\Current,0.0
144,220_VFD_130\Current,0.0
145,220_VFD_130\Freq,0.0
86,205_E3_521\AVGPercentFLA,0.0
147,220_VFD_132X\Current,0.0
148,220_VFD_150\Current,0.0
149,220_VFD_151\Current,0.0
151,230_DT_050\PV,0.0
152,230_FT_030\PV,0.0
279,860_TE_110\PV,0.0
67,130_LT_012\PV,0.0
477,VFD150_SB_Runing,0.0
421,ST340M032\TorqueFB,0.0
40,120_WT_021,0.0
39,120_MTR_120\MtrCurrnt,0.0
415,ST340M022\AI4,0.0
416,ST340M022\SpeedFB,0.0
38,120_MTR_061\MtrCurrnt,0.0
37,120_MTR_056\MtrCurrnt,0.0
419,ST340M032\AI4,0.0
420,ST340M032\SpeedFB,0.0
36,120_MTR_053\MtrCurrnt,0.0
410,ST340M012\SpeedFB,0.0
423,ST340M042\AI4,0.0
424,ST340M042\SpeedFB,0.0
427,ST355M001\SpeedFB,0.0
35,120_MTR_051\MtrCurrnt,0.0
430,ST355M002\TorqueFB,0.0
431,ST370M013\SpeedFB,0.0
432,ST370M014\SpeedFB,0.0
433,S_Load_POS_FINAL,0.0
411,ST340M012\TorqueFB,0.0
41,120_WT_022,0.0
283,A2_CATCHER_JAM,0.0
394,ST325M010\SpeedFB,0.0
48,120_WT_223,0.0
47,120_WT_222,0.0
387,ST315M031\AI4,0.0
388,ST315M031\SpeedFB,0.0
46,120_WT_221,0.0
391,ST315M040\AI4,0.0
392,ST315M040\SpeedFB,0.0
393,ST315M040\TorqueFB,0.0
395,ST325M010\TorqueFB,0.0
42,120_WT_031,0.0
396,ST325M015\SpeedFB,0.0
397,ST325M015\TorqueFB,0.0
45,120_WT_034,0.0
44,120_WT_033,0.0
401,ST330M010\TorqueFB,0.0
43,120_WT_032,0.0
405,ST330M020\TorqueFB,0.0
406,ST330M025\SpeedFB,0.0
434,Servo_Torque_Ref_LANEB,0.0
435,Servo_Torque_Ref_LANEC,0.0
34,120_MTR_012\MtrCurrnt,0.0
467,VFD145_SW_SectionStatusCode,0.0
459,VFD145_CW_StatusCode,0.0
460,VFD145_OL_Enable,0.0
461,VFD145_OL_Feedback,0.0
462,VFD145_OL_Trim,0.0
463,VFD145_OL_TrimSpeed,0.0
464,VFD145_SB_Runing,0.0
465,VFD145_SW_Current,0.0
466,VFD145_SW_DriveTemp,0.0
468,VFD145_SW_Speed,0.0
437,Servo_Torque_Ref_LANE_A,0.0
469,VFD145_SW_Torque,0.0
470,VFD150_CB_Start,0.0
471,VFD150_CW_StatusCode,0.0
472,VFD150_Fault_Disc,0.0
473,VFD150_Fault_General,0.0
474,VFD150_Fault_Thermal,0.0
475,VFD150_SB_Permissive,0.0
476,VFD150_SB_Ready,0.0
458,VFD145_CB_Start,0.0
457,Turntime_south,0.0
89,205_MTR_001\MtrCurrnt,0.0
455,Total_Squares_Shift2,0.0
438,Spill_Roll_Recipe_Output,0.0
439,Splice_in_BE,0.0
440,Splice_in_FPL,0.0
441,Splice_near_Coater,0.0
442,Spray_Bar_11_Flow,0.0
33,120_MTR_011\MtrCurrnt,0.0
444,Spray_Bar_13_Flow,0.0
445,Spray_Bar_14_Flow,0.0
446,Spray_Bar_15_Flow,0.0
447,Spray_Bar_18_Flow,0.0
