MEMS_SN__PARENT_SN,242_m1_Delta_F,242_m1_F_AC_peak,242_m1_F_BD_peak,242_m1_LED_1.8_PD_A,242_m1_LED_1.8_PD_B,242_m1_LED_1.8_PD_C,242_m1_LED_1.8_PD_D,242_m1_SNR_PD_A,242_m1_SNR_PD_B,242_m1_SNR_PD_C,242_m1_SNR_PD_D,242_m1_THD_PD_A,242_m1_Z_AC_peak,242_m1_Z_BD_peak,242_m1_lin_R2_PD_A,242_m1_lin_R2_PD_B,242_m1_lin_R2_PD_C,242_m1_lin_R2_PD_D,242_m1_lin_gain_PD_A,242_m1_lin_gain_PD_B,242_m1_lin_gain_PD_C,242_m1_lin_gain_PD_D,242_m1_min_IV_AC,242_m1_min_IV_BD,242_m1_sync_error,242_m2_Delta_F,242_m2_F_AC_peak,242_m2_F_BD_peak,242_m2_LED_1.8_PD_A,242_m2_LED_1.8_PD_B,242_m2_LED_1.8_PD_C,242_m2_LED_1.8_PD_D,242_m2_SNR_PD_A,242_m2_SNR_PD_B,242_m2_SNR_PD_C,242_m2_SNR_PD_D,242_m2_THD_PD_A,242_m2_Z_AC_peak,242_m2_Z_BD_peak,242_m2_lin_R2_PD_A,242_m2_lin_R2_PD_B,242_m2_lin_R2_PD_C,242_m2_lin_R2_PD_D,242_m2_lin_gain_PD_A,242_m2_lin_gain_PD_B,242_m2_lin_gain_PD_C,242_m2_lin_gain_PD_D,242_m2_min_IV_AC,242_m2_min_IV_BD,242_m2_sync_error,242_m3_Delta_F,242_m3_F_AC_peak,242_m3_F_BD_peak,242_m3_LED_1.8_PD_A,242_m3_LED_1.8_PD_B,242_m3_LED_1.8_PD_C,242_m3_LED_1.8_PD_D,242_m3_SNR_PD_A,242_m3_SNR_PD_B,242_m3_SNR_PD_C,242_m3_SNR_PD_D,242_m3_THD_PD_A,242_m3_THD_PD_B,242_m3_THD_PD_C,242_m3_THD_PD_D,242_m3_Z_AC_peak,242_m3_Z_BD_peak,242_m3_feedback_delay,242_m3_internal_delay_diff,242_m3_lin_R2_PD_A,242_m3_lin_R2_PD_B,242_m3_lin_R2_PD_C,242_m3_lin_R2_PD_D,242_m3_lin_gain_PD_A,242_m3_lin_gain_PD_B,242_m3_lin_gain_PD_C,242_m3_lin_gain_PD_D,242_m3_min_IV_AC,242_m3_min_IV_BD,242_m3_sync_error,242_m4_Delta_F,242_m4_F_AC_peak,242_m4_F_BD_peak,242_m4_LED_1.8_PD_A,242_m4_LED_1.8_PD_B,242_m4_LED_1.8_PD_C,242_m4_LED_1.8_PD_D,242_m4_SNR_PD_A,242_m4_SNR_PD_B,242_m4_SNR_PD_C,242_m4_SNR_PD_D,242_m4_THD_PD_A,242_m4_Z_AC_peak,242_m4_Z_BD_peak,242_m4_lin_R2_PD_A,242_m4_lin_R2_PD_B,242_m4_lin_R2_PD_C,242_m4_lin_R2_PD_D,242_m4_lin_gain_PD_A,242_m4_lin_gain_PD_B,242_m4_lin_gain_PD_C,242_m4_lin_gain_PD_D,242_m4_min_IV_AC,242_m4_min_IV_BD,242_m4_sync_error,242_tolerance,242_agg_meah,250_RESULT
2113-0008__F00072100735,2,319,321,1.427026,1.205978,1.177445,1.408456,34.612951,32.982347,32.977128,34.426225,-42.562745,3775.738,3593.342,0.999667119,0.999391651,0.999700749,0.999807931,0.763681541,0.622524549,0.618849286,0.770794248,-2.37E-08,-2.49E-08,0.14951105,3,319,316,1.245753,1.109835,1.187646,1.294697,33.277092,32.623624,32.97159,33.442501,-40.587281,3459.229,3361.407,0.999228707,0.999863594,0.999646299,0.999564036,0.657758421,0.580056203,0.61802282,0.70359688,-2.12E-08,-2.2E-08,0.14951105,2,320,318,1.143995,1.416407,1.713765,1.33463,32.385974,33.77418,35.053563,33.411731,-40.019843,-40.381432,-39.726598,-39.683665,3666.674,3674.271,3.515506,0.109886986,0.999899258,0.999794298,0.999671276,0.999821074,0.583634098,0.76130594,0.963593459,0.717767481,-1.84E-08,-1.92E-08,0.14951105,0,321,321,1.07208,1.328002,1.57546,1.308489,31.90365,33.656675,34.976258,34.319309,-41.970945,3388.377,3305.083,0.999899327,0.999799505,0.999936513,0.998673555,0.558228008,0.698567632,0.867452481,0.702743233,-2.31E-08,-2.43E-08,0.14951105,10.07989562,10.39186127,Passed
2110-0049__F00072100544,4,316,312,1.23,1.27,1.42,1.38,33.8,33.2,33.8,33.5,-40.5,3710,3500,1,0.999,1,1,0.66,0.691,0.774,0.733,-2.13E-08,-2.22E-08,0.0683,5,315,310,1.53,1.53,1.32,1.38,35.3,35.2,34.3,34.3,-42.3,3810,3680,1,1,1,1,0.848,0.84,0.724,0.738,-2.22E-08,-2.33E-08,0.0683,4,310,306,1.18,1.23,1.49,1.44,32.9,33.5,34.5,33.9,-41.4,-41.5,-40.8,-40.3,3810,3710,3.8,0.154,0.999,1,1,0.999,0.62,0.667,0.843,0.788,-1.79E-08,-1.88E-08,0.0683,9,321,312,1.24,1.26,1.44,1.45,32.5,32.4,33.7,33.6,-39.2,3720,3500,0.999,1,1,1,0.638,0.653,0.804,0.786,-2.14E-08,-2.22E-08,0.0683,10.29959187,10.07406133,Passed
2110-0033__F00072100574,2,307,309,1.56,1.61,1.43,1.54,34.1,34.5,33.8,33.8,-40.5,3410,3380,1,1,1,0.999,0.855,0.896,0.786,0.842,-2.12E-08,-2.18E-08,0.536,0,310,310,1.36,1.44,1.45,1.54,31.9,32.2,32.2,32.5,-34.9,3650,3640,0.999,0.999,1,0.999,0.725,0.806,0.804,0.853,-2.1E-08,-2.18E-08,0.536,1,311,312,1.33,1.56,1.54,1.44,34.4,35.3,34.9,34.5,-41.4,-41.7,-41.2,-41,3640,3640,3.98,0.232,0.999,1,1,1,0.713,0.849,0.859,0.787,-1.91E-08,-1.98E-08,0.536,1,309,310,1.22,1.17,1.28,1.34,32.6,32.6,33.3,34.4,-40.1,3220,3240,0.999,1,1,0.999,0.627,0.615,0.681,0.734,-2.12E-08,-2.21E-08,0.536,10.28234403,10.35032586,Passed
2110-0106__F00072100457,2,295,297,1.28,1.24,1.28,1.37,32.4,31.6,31.8,32.2,-34.6,3770,3650,1,0.998,1,0.999,0.72,0.677,0.694,0.749,-1.89E-08,-1.95E-08,0.112,2,299,297,1.39,1.55,1.55,1.49,35.3,35.6,35.5,35,-41.1,3970,3900,1,1,1,1,0.757,0.879,0.859,0.817,-2.25E-08,-2.37E-08,0.112,5,304,299,1.42,1.55,1.5,1.44,34.9,35.8,35.1,35,-41,-41.3,-40.6,-40.2,4030,3950,3.93,0.138,1,1,1,1,0.781,0.874,0.809,0.794,-2.06E-08,-2.14E-08,0.112,7,306,299,1.42,1.25,1.43,1.67,34.4,33.9,34.6,35.7,-39.9,3630,3530,0.999,1,0.999,1,0.777,0.665,0.773,0.909,-1.83E-08,-1.92E-08,0.112,0.1246780063,10.3071817,Passed
2107-0082__F00072100559,1,323,322,1.93,1.55,1.59,1.97,35.3,33.8,33.7,35.1,-40.3,4160,4020,1,1,1,0.999,1.11,0.853,0.884,1.14,-1.76E-08,-1.85E-08,0.239,0,322,322,1.61,1.38,1.52,1.74,35.1,33.8,34.3,35.5,-43,4020,3870,1,1,1,1,0.895,0.759,0.844,0.983,-1.9E-08,-2.01E-08,0.239,9,329,320,1.76,1.53,1.7,1.95,35.5,34.6,34.7,35.6,-40.8,-40.6,-40.1,-40.2,3660,3400,3.78,0.157,1,1,1,0.999,1.01,0.86,0.952,1.12,-1.87E-08,-1.98E-08,0.239,4,324,320,1.66,1.41,1.51,1.77,35,33.6,34.1,35.6,-42.1,3560,3500,0.999,1,1,1,0.932,0.799,0.848,1.01,-1.83E-08,-1.93E-08,0.239,0.2413481731,0.7817093833,Passed
2110-0034__F00072100455,0,322,322,1.75,1.55,1.55,1.94,36,34.5,34.7,36.1,-41.3,3450,3330,0.999,1,0.999,1,0.988,0.854,0.851,1.13,-2.25E-08,-2.36E-08,0.153,3,324,321,1.82,1.57,1.67,2.03,35.6,34.4,34.4,35.8,-40.4,3270,3190,1,1,1,1,1.03,0.882,0.917,1.19,-2.46E-08,-2.58E-08,0.153,2,323,321,1.43,1.39,1.53,1.69,34.2,34.3,34.2,35.1,-40.6,-40.7,-40.4,-40.6,3260,3240,3.75,0.139,1,1,1,1,0.772,0.773,0.851,0.948,-2.23E-08,-2.31E-08,0.153,5,324,319,1.56,1.82,1.66,1.63,34,35.4,34.7,34.6,-39.9,3350,3220,1,1,1,0.999,0.864,1.03,0.951,0.898,-2.23E-08,-2.31E-08,0.153,0.1856033534,10.64727344,Failed
2107-0167__F00072100944,4,330,326,1.34,1.51,1.6,1.39,33.8,34.3,34.8,33.7,-39.2,5000,4820,1,1,1,1,0.71,0.843,0.914,0.74,-1.55E-08,-1.65E-08,0.104,3,327,324,1.56,1.85,1.81,1.47,35.4,36.1,35.7,34.8,-41.5,4400,4360,0.999,1,0.999,1,0.862,1.05,1.03,0.819,-1.88E-08,-1.98E-08,0.104,3,329,326,1.66,1.85,1.95,1.71,35.9,36.1,36.2,35.3,-41.9,-41.6,-41.4,-41,4090,4060,3.65,0.194,1,1,1,1,0.924,1.05,1.11,0.965,-1.68E-08,-1.76E-08,0.104,2,331,329,1.42,1.42,1.62,1.48,33.9,34,35.1,34.4,-40.5,3750,3750,1,1,1,1,0.777,0.776,0.897,0.789,-1.87E-08,-1.95E-08,0.104,10.33095461,10.16379157,Passed
2107-0051__F00072100937,1,324,325,1.69,1.47,1.47,1.8,32.5,31.6,31.8,32.7,-35.2,3770,3670,0.999,1,0.999,0.999,0.953,0.802,0.812,1.04,-2.03E-08,-2.13E-08,0.425,4,329,325,1.13,1.25,1.11,1.07,33.3,33.9,33.2,33.1,-43.9,3730,3630,0.998,1,1,1,0.538,0.623,0.543,0.52,-2.07E-08,-2.2E-08,0.425,4,328,324,1.32,1.24,1.44,1.42,33.9,33.6,34.5,34.2,-40.1,-39.8,-39.8,-40,3960,3780,3.87,0.0767,1,0.999,1,0.999,0.71,0.656,0.795,0.774,-1.74E-08,-1.92E-08,0.425,11,330,319,1.46,1.5,1.61,1.48,34.1,33.9,34.7,34.2,-40.1,3570,3380,1,1,0.999,1,0.816,0.829,0.911,0.825,-1.97E-08,-2.1E-08,0.425,0.3863201359,0.1725281475,Passed
2110-0126__F00072100956,0,322,322,1.2,1.19,1.29,1.3,32.6,32.4,33.1,32.7,-41.2,2800,2770,1,1,1,1,0.626,0.648,0.696,0.683,-2.19E-08,-2.28E-08,0.286,8,324,316,0.926,1.02,1.11,1.09,31.7,31.9,32.7,32.3,-42.4,2850,2830,1,1,1,0.999,0.472,0.519,0.586,0.568,-1.99E-08,-2.08E-08,0.286,9,325,316,1.3,1.39,1.53,1.47,34.1,34.2,34.8,34.2,-41.5,-42.1,-41.2,-40.9,3330,3250,3.88,0.24,0.999,1,1,1,0.699,0.76,0.832,0.802,-1.73E-08,-1.81E-08,0.286,10,326,316,1.3,1.32,1.24,1.22,33.3,33.5,33.2,32.8,-40.6,2730,2660,1,1,1,0.999,0.711,0.71,0.669,0.633,-2.14E-08,-2.24E-08,0.286,10.71436665,10.06086198,Passed
2110-0107__F00072100941,1,331,332,1.41,1.36,1.17,1.26,33.8,33.5,33.2,33.5,-40.8,3230,3170,1,0.999,1,1,0.768,0.721,0.63,0.68,-2.05E-08,-2.15E-08,0.299,1,323,324,1.32,1.25,1.22,1.27,34.5,33.9,33.5,33.7,-40.6,3500,3590,1,1,0.999,1,0.724,0.676,0.639,0.677,-1.94E-08,-2.01E-08,0.299,4,322,318,1.41,1.36,1.22,1.28,34.6,34.5,33.1,33.6,-40.8,-40.9,-39.9,-40.4,3550,3380,4.04,0.113,1,1,1,1,0.764,0.744,0.647,0.685,-1.71E-08,-1.84E-08,0.299,4,328,324,1.52,1.41,1.3,1.38,34.3,33.7,33.6,34.2,-40.9,3410,3400,1,0.999,1,1,0.83,0.758,0.708,0.745,-1.86E-08,-1.95E-08,0.299,10.38302992,0.6248910442,Failed
2110-0041__F00072100950,7,314,307,1.4,1.33,1.19,1.2,34.3,33.6,32.4,33,-40,3900,3660,1,1,1,1,0.765,0.721,0.615,0.636,-2.19E-08,-2.28E-08,0.113,8,311,303,1.38,1.35,1.24,1.27,34.3,33.7,32.8,33.1,-41.1,3750,3630,0.999,1,1,1,0.753,0.723,0.65,0.674,-2.28E-08,-2.37E-08,0.113,7,305,298,1.21,1.3,1.45,1.35,33.3,33.8,34.2,33.7,-41,-41,-40.5,-40.4,3900,3830,3.75,0.183,1,1,1,1,0.625,0.691,0.803,0.742,-1.71E-08,-1.78E-08,0.113,5,317,312,1.3,1.35,1.5,1.39,33.4,34,34.8,34.4,-42.8,3580,3430,1,1,1,1,0.7,0.748,0.831,0.746,-2.22E-08,-2.34E-08,0.113,10.36996143,10.05010141,Passed
2110-0129__F00072100934,6,318,312,1.44,1.45,1.31,1.33,33.4,33.7,32.6,32.7,-40.9,3290,3080,1,0.999,1,1,0.803,0.804,0.703,0.702,-2.3E-08,-2.43E-08,0.137,5,317,312,1.42,1.49,1.33,1.3,34.4,34.4,33.5,33.4,-41.2,3330,3200,0.999,0.999,1,1,0.772,0.808,0.715,0.674,-2.3E-08,-2.38E-08,0.137,7,319,312,1.31,1.24,1.22,1.33,34.1,32.8,32.5,33.4,-41,-40.8,-40.2,-40.4,3430,3280,3.86,0.37,1,0.999,1,1,0.719,0.636,0.644,0.705,-2.13E-08,-2.2E-08,0.137,6,319,313,1.15,1.18,0.982,1.01,31.9,32.4,31.4,31.8,-42.6,2940,2830,1,1,0.999,1,0.593,0.609,0.507,0.511,-2.32E-08,-2.43E-08,0.137,0.7545246275,10.12377939,Passed
2110-0203__F00072100946,1,313,314,1.4,1.36,1.16,1.17,34.5,33.6,32.4,32.4,-40.8,2940,2830,0.999,1,0.999,1,0.766,0.744,0.611,0.614,-2.16E-08,-2.27E-08,0.211,6,329,323,1.19,1.28,1.47,1.34,33,32.9,33.8,33,-40.3,3370,3200,1,1,1,1,0.626,0.683,0.812,0.713,-1.92E-08,-2.02E-08,0.211,5,318,313,1.31,1.25,1.15,1.17,33.3,33.2,32.3,32.2,-39.7,-39.8,-39.8,-39.8,3010,2820,3.86,0.203,1,1,1,0.999,0.709,0.669,0.593,0.608,-1.89E-08,-1.97E-08,0.211,13,321,308,1.15,1.16,1.34,1.28,32.1,32.7,33.5,33.2,-40.7,2670,2510,0.999,1,1,1,0.594,0.615,0.731,0.687,-2.25E-08,-2.35E-08,0.211,10.54558023,10.72664256,Passed
2110-0022__F00072100598,1,322,323,1.67,1.43,1.52,1.82,35.8,34.1,34.4,35.9,-40.7,4570,4440,1,1,1,1,0.932,0.776,0.818,1.04,-1.68E-08,-1.75E-08,0.109,2,327,325,1.45,1.63,1.59,1.64,34.3,34.7,34.6,34.9,-39.6,4100,4000,0.999,1,1,1,0.799,0.901,0.887,0.934,-2.03E-08,-2.12E-08,0.109,2,326,324,1.33,1.86,1.87,1.52,34.1,36.4,35.8,34.5,-41.3,-41.2,-40.3,-40.6,3890,3830,3.77,0.0777,1,1,1,1,0.715,1.07,1.07,0.823,-1.93E-08,-2E-08,0.109,6,319,313,1.41,1.42,1.57,1.69,33.9,34,34.9,35.5,-40.8,3570,3520,1,1,1,0.999,0.758,0.773,0.861,0.949,-1.71E-08,-1.8E-08,0.109,0.8074198598,10.44268696,Passed
2110-0100__F00152100235,8,306,298,1.56,1.62,1.58,1.66,33.7,34,34,34.1,-38.9,4310,4090,1,1,1,1,0.851,0.898,0.875,0.941,-2.09E-08,-2.17E-08,0.304,11,318,307,1.84,1.79,1.72,1.68,36.1,35.5,35.3,35.5,-41.2,4290,4040,1,1,1,1,1.05,0.995,0.959,0.948,-1.67E-08,-1.74E-08,0.304,6,328,322,1.4,1.65,1.69,1.5,34.3,35,35.3,34.3,-41.1,-40.7,-40.4,-40.3,4160,3930,3.92,0.132,0.999,1,1,1,0.745,0.915,0.935,0.833,-1.89E-08,-2E-08,0.304,13,305,292,1.56,1.47,1.62,1.81,35.2,34.6,35.1,36.4,-42,3780,3610,1,1,1,1,0.868,0.784,0.908,1.03,-2.1E-08,-2.21E-08,0.304,0.3407074402,10.42100715,Passed
2107-0007__F00072100942,0,316,316,1.34,1.53,1.49,1.39,33.1,34,33.6,33.5,-39.1,3920,3500,1,1,1,1,0.704,0.854,0.797,0.764,-2.04E-08,-2.15E-08,0.0525,4,307,311,1.48,1.1,1.19,1.56,34.1,31.7,32.4,34.5,-39.3,4450,4450,1,0.999,1,1,0.845,0.567,0.641,0.895,-1.94E-08,-2.04E-08,0.0525,3,313,316,1.38,1.26,1.36,1.63,33.6,32.8,33.1,34.2,-38.6,-38.7,-38.6,-38.6,3860,4140,3.69,0.103,1,1,1,1,0.768,0.674,0.747,0.917,-1.99E-08,-2.04E-08,0.0525,0,315,315,1.39,1.72,1.57,1.3,33.2,34.6,34.1,33.1,-40.1,3390,3450,1,1,1,1,0.775,0.949,0.877,0.702,-2.02E-08,-2.14E-08,0.0525,10.55818141,10.14497004,Passed
2110-0013__F00072100560,1,319,320,1.230564,1.321969,1.30886,1.241523,33.520422,33.661623,33.63987,33.216855,-40.136542,4329.158,4153.609,0.999475038,0.999548405,0.999056817,0.999754633,0.66073391,0.704810677,0.701437406,0.662509436,-2.25E-08,-2.34E-08,0.260403227,0,325,325,1.112227,1.285181,1.353161,1.231229,33.144682,33.857456,34.459759,33.663209,-42.514015,4140.764,4031.205,0.99880353,0.999877511,0.999720665,0.999550529,0.587598985,0.672067744,0.726764511,0.638198759,-2E-08,-2.1E-08,0.260403227,5,324,319,1.125553,1.123383,1.120799,1.127983,33.124949,32.78907,32.980811,33.532076,-42.303789,-42.048036,-41.738363,-41.329343,4825.685,4554.501,3.808272,0.046680481,0.999928914,0.998650692,0.999643587,0.999055081,0.576371241,0.571009398,0.583385,0.590290188,-2.03E-08,-2.11E-08,0.260403227,6,321,315,1.235711,1.341287,1.435859,1.360844,33.904013,34.278185,34.924246,34.747064,-42.697439,3603.328,3470.354,0.999798257,0.999513482,0.999704284,0.999856039,0.663421617,0.727741579,0.793678684,0.735615902,-2.06E-08,-2.16E-08,0.260403227,0.6522865588,0.564375063,Passed
2110-0017__F00072100470,1,327,326,1.431089,1.4983,1.411679,1.402517,33.796877,33.953972,33.811458,34.091192,-39.625112,4076.528,3947.795,0.999247266,0.999717451,0.999839839,0.999860443,0.792884398,0.825524774,0.74679391,0.759635414,-1.98E-08,-2.07E-08,0.107113679,3,328,325,1.273584,1.3205,1.283454,1.207311,33.534927,33.87055,33.975305,33.399065,-42.7811,4497.948,4449.958,0.999824889,0.999772225,0.999877766,0.999442418,0.652097707,0.708310752,0.687003271,0.664133195,-1.86E-08,-1.96E-08,0.107113679,4,323,319,1.253086,1.198084,1.240674,1.31556,33.553906,33.206482,33.274593,33.537676,-41.623891,-42.372317,-41.244146,-40.883887,4482.295,4352.06,3.633409,0.024425661,0.99959991,0.999412482,0.999801604,0.999239083,0.671461278,0.624819774,0.656212895,0.693145639,-1.97E-08,-2.06E-08,0.107113679,3,324,321,1.32245,1.457106,1.469939,1.348341,33.650987,33.671793,34.408851,33.83243,-41.034531,3378.112,3262.368,0.999466828,0.999902495,0.999901235,0.999755654,0.703631992,0.786989023,0.803234737,0.717055752,-2.2E-08,-2.32E-08,0.107113679,0.2981032659,10.75499277,Passed
2110-0014__F00072100599,6,318,312,1.276046,1.319468,1.402147,1.379071,32.970662,32.852492,33.831918,33.59199,-39.329219,3664.567,3477.275,0.999449416,0.999745986,0.998570875,0.999791728,0.676127519,0.688789962,0.761926579,0.749245714,-2.16E-08,-2.26E-08,0.124313016,4,318,314,1.106598,1.267521,1.324247,1.189647,32.559234,32.889938,33.507252,32.980135,-42.304217,3499.625,3438.187,0.999526938,0.999762386,0.999766252,0.999903373,0.565945301,0.636545639,0.69932485,0.616894323,-2.13E-08,-2.22E-08,0.124313016,2,317,315,1.218077,1.23903,1.413218,1.408879,33.37275,33.348105,34.493375,33.868763,-42.99398,-42.836549,-42.107165,-41.893989,3214.452,3164.898,3.541938,0.156513094,0.999841697,0.999379809,0.99941608,0.999945178,0.625461316,0.640916466,0.758758985,0.736878647,-2.2E-08,-2.32E-08,0.124313016,7,321,314,1.301039,1.332691,1.405063,1.372409,32.857405,33.304047,33.714432,33.633823,-39.55371,3425.939,3255.687,0.999501996,0.999173883,0.999136834,0.999674503,0.688943421,0.721513383,0.763617594,0.721968045,-2.16E-08,-2.24E-08,0.124313016,0.1623041169,0.3451484563,Passed
2110-0020__F00072100938,0,321,321,1.178831,1.099992,1.16135,1.222611,33.073741,32.038609,32.479639,33.188539,-40.428056,4127.789,3971.211,0.999550918,0.999220699,0.999704092,0.999117351,0.622594436,0.553795451,0.584024361,0.63443891,-2.22E-08,-2.3E-08,0.133514077,2,323,321,1.272958,1.176879,1.220468,1.311737,33.40914,32.485713,32.840798,33.277158,-40.444427,4283.582,4125.728,0.998731678,0.999932271,0.999872691,0.9997517,0.676408647,0.618526353,0.646084023,0.699911316,-1.98E-08,-2.04E-08,0.133514077,2,318,320,1.336077,1.243249,1.198944,1.372614,34.042171,32.838419,32.292203,33.624837,-40.396656,-40.101949,-39.762519,-39.832745,3483.503,3459.217,3.691065,0.147219845,0.999922254,0.999649095,0.999856712,0.999774461,0.72457688,0.662578985,0.634320414,0.737618083,-2.24E-08,-2.32E-08,0.133514077,2,318,316,1.224302,1.126843,1.147904,1.263168,32.882418,32.517385,32.552315,34.006886,-40.952642,3421.637,3301.747,0.999921177,0.998814126,0.999771913,0.99995658,0.645113759,0.583809887,0.599027368,0.665024135,-2.18E-08,-2.27E-08,0.133514077,0.417903476,0.9269427705,Failed
2111-0201__F00072100943,0,330,330,1.441405,1.224112,1.16635,1.325302,33.803517,32.470315,32.56065,33.402578,-39.977979,3731.34,3696.099,0.999903767,0.999855928,0.999719247,0.999605507,0.788459962,0.647811203,0.621174774,0.723708797,-2.25E-08,-2.34E-08,0.216935601,1,332,331,1.449794,1.410049,1.270795,1.298762,33.971624,33.7864,33.150449,33.243971,-39.409555,3757.966,3742.863,0.999951277,0.999836478,0.999628132,0.999151551,0.813899098,0.769237218,0.685998759,0.694857782,-2.08E-08,-2.19E-08,0.216935601,0,332,332,1.239801,1.282475,1.526841,1.482503,33.42291,33.334869,34.358493,34.431683,-42.582022,-42.52848,-41.06568,-40.990424,3977.072,3999.217,3.5,0.055757032,0.99963259,0.999785387,0.999033028,0.999295481,0.664346241,0.655751541,0.829494549,0.811938421,-1.97E-08,-2.06E-08,0.216935601,2,332,330,1.522496,1.23766,1.324554,1.625898,34.167083,32.688402,33.270051,35.186627,-39.810269,3582.572,3418.729,0.99937281,0.999959641,0.999359085,0.999752208,0.824689962,0.645013947,0.710912782,0.904229436,-1.92E-08,-2.08E-08,0.216935601,0.3939058184,10.41453189,Failed
2111-0202__F00072100933,9,332,323,1.379669,1.182843,1.225573,1.455035,33.674521,32.018282,32.608989,33.75954,-39.766787,5273.648,4877.314,0.999903098,0.999742969,0.999198106,0.99990708,0.769780602,0.618498346,0.647181429,0.805303308,-2.02E-08,-2.13E-08,0.229681786,7,333,326,1.558772,1.268303,1.274389,1.513866,34.310706,32.355299,32.542453,34.080484,-40.206707,5197.673,4911.507,0.999772169,0.99926995,0.999806162,0.999791649,0.862868421,0.66958203,0.664204925,0.852216391,-1.91E-08,-2.04E-08,0.229681786,10,331,321,1.366397,1.094002,1.048437,1.265852,33.297809,31.429212,31.466193,33.151449,-39.840278,-40.05215,-39.742415,-39.921264,5545.301,5187.193,3.462593,0.269493156,0.999879113,0.998406736,0.9995257,0.999524898,0.72403688,0.564334023,0.55394797,0.673500338,-1.84E-08,-1.98E-08,0.229681786,7,328,321,1.578134,1.286582,1.228569,1.464459,34.293866,32.650731,32.297608,34.704505,-40.38183,4891.1,4571.02,0.999782587,0.999970157,0.999699568,0.999763427,0.870640639,0.686128383,0.649658083,0.792565188,-1.84E-08,-1.98E-08,0.229681786,10.84536187,10.26601026,Passed
2111-0203__F00072100953,1,322,323,1.193366,1.419045,1.376833,1.163528,32.844425,34.291796,34.123965,32.656454,-42.621,3591.601,3502.043,0.99998847,0.999892106,0.998975641,0.999764314,0.620532857,0.766251992,0.745119398,0.604377256,-2.37E-08,-2.47E-08,0.332206365,2,325,323,1.433689,1.118118,1.153574,1.395527,33.947859,32.589738,32.303146,34.148674,-39.849955,3592.137,3550.598,0.999753697,0.999732331,0.999819093,0.999983655,0.765335489,0.581201241,0.597851128,0.781447293,-2.27E-08,-2.38E-08,0.332206365,1,326,325,1.132273,1.08822,1.139085,1.219427,32.346218,31.982333,32.472434,32.694885,-41.2794,-41.166144,-41.212007,-41.081553,3440.019,3414.146,3.541016,0.05391399,0.999065132,0.99871786,0.999820338,0.99986044,0.580741917,0.547812669,0.581869737,0.62010203,-2.2E-08,-2.28E-08,0.332206365,1,322,321,1.114902,1.334879,1.35238,1.155333,32.087707,33.133303,33.542094,32.848273,-40.680868,2722.823,2714.834,0.999163698,0.999802397,0.999722325,0.999327456,0.582035226,0.710148797,0.736759699,0.607688158,-2.22E-08,-2.34E-08,0.332206365,0.1176911499,0.9193573078,Failed
2113-0233__F00152100347,18,326,308,1.48092,1.268607,1.300207,1.57149,34.692598,32.393666,33.094827,34.249758,-42.090753,5206.538,4810.233,0.99993237,0.999634358,0.999768847,0.999708581,0.82510985,0.665778195,0.688597857,0.86804906,-1.83E-08,-1.92E-08,0.044438293,15,323,308,1.535288,1.203004,1.21453,1.53097,34.637011,32.351361,32.593111,34.349418,-43.328686,5062.453,4766.668,0.999848507,0.99985449,0.999768457,0.999897585,0.84885688,0.632709248,0.632219248,0.838739774,-1.95E-08,-2.05E-08,0.044438293,9,320,311,1.431292,1.275143,1.332796,1.503038,32.989057,32.228875,32.286776,33.081158,-37.882277,-38.33773,-37.89267,-37.184021,5088.842,4869.444,3.278247,0.206783031,0.999481645,0.999099069,0.999827605,0.99995154,0.777766917,0.674405902,0.714960226,0.817076429,-1.75E-08,-1.84E-08,0.044438293,13,325,312,1.666392,1.280671,1.314588,1.697694,33.835913,32.315024,32.555253,34.031459,-39.154055,5321.866,4985.036,0.999744259,0.999802608,0.99968918,0.999883463,0.927178609,0.688895564,0.727156128,0.954391353,-1.73E-08,-1.8E-08,0.044438293,10.53243152,0.05525767212,Failed
2112-0004__F00022101022,7,315,308,1.2073,1.419433,1.351152,1.194275,33.624084,33.813398,33.684911,32.750641,-45.15853,4960.68,4696.376,0.999948651,0.999932816,0.99984708,0.999867459,0.632651992,0.74780485,0.738129549,0.616705677,-1.61E-08,-1.66E-08,0.192058677,5,311,306,1.060997,1.088297,1.109194,1.133464,32.195386,31.999195,32.098336,32.406903,-45.813103,4851.267,4626.348,0.999705928,0.999796008,0.999710403,0.999734406,0.55053906,0.552720301,0.57166797,0.579693722,-1.56E-08,-1.65E-08,0.192058677,0,306,306,1.321169,1.100127,1.045007,1.275003,33.671744,32.501122,31.676277,32.902091,-44.781576,-44.324541,-43.556086,-43.48512,4975.8,4846.878,3.461778,0.163174458,0.999920031,0.999491225,0.999913744,0.999905167,0.692342895,0.565326842,0.525478383,0.660640414,-1.34E-08,-1.39E-08,0.192058677,5,321,316,1.041749,1.0905,1.152586,1.149426,31.927264,31.885192,32.935239,32.61396,-46.466777,4928.025,4659.306,0.999911304,0.999918241,0.999083497,0.999339755,0.535133346,0.555944436,0.597021617,0.601697707,-1.62E-08,-1.71E-08,0.192058677,0.5509664987,10.06714017,Failed
