Vendor_Batch,vendor_yield,offset,driftelite,prod_val,smartcal,resistance_yield
523288-11,0.0846648828661147,170,162,139,238,0.13442920777813744
523288-09,0.4666776534845232,182,218,193,240,-0.0528606681281269
523860-04,-0.19715445446520524,107,125,119,147,-0.20323564018105852
523288-06,0.731596494200494,211,218,193,241,1.3056481393561596
523288-08,0.5783738197200778,144,174,143,241,0.8154183290888424
523288-08,0.4251738531070679,152,128,143,148,0.7078666804704651
523860-10,0.17570517554974766,204,189,183,227,-0.14588915933861982
523288-09,-0.09669279800769746,154,125,139,237,0.35860049142311123
523860-01,2.4646928642889,201,211,142,241,2.763926271873228
523860-04,-0.4874413100749707,117,125,96,151,0.5399129934459569
523860-10,-0.6003183194053071,182,185,134,144,-0.8584382063426208
523288-10,-0.027003012959580852,166,157,147,196,0.24221304002728639
523860-04,-1.0647403443855967,107,127,113,140,-0.19052200748056192
523860-10,-0.8051136972343078,161,209,91,220,-1.3430117359015852
523288-10,1.7723462245178336,140,188,122,189,2.552660968933603
523860-10,-0.08405271492209082,155,177,110,152,-0.03589475169721685
523288-08,-1.347626608223348,143,170,138,177,-1.778594149544674
523288-06,-1.824634736412699,211,222,193,241,-1.1984593969142354
523860-04,-1.4091797804514121,110,125,112,149,-2.6302905241908885
523288-11,0.7261379148183105,139,141,139,179,-0.3996192623983599
523860-10,-0.9933291027500618,177,184,136,147,-1.6092958522931367
523288-08,2.531235038920865,139,167,135,187,2.363993735380441
523288-08,0.28443738160956944,115,146,130,177,-0.07828157111642048
523288-08,0.18424155715333446,149,161,133,163,0.4789465189917416
523288-11,1.6372197677082834,137,177,140,190,1.8776209587812596
523288-08,-1.5122874498346588,131,151,136,166,-1.3845264195585363
523288-06,-0.7356591903025967,173,220,189,230,-1.5522784371610856
523288-10,-1.2700355803519157,163,141,142,173,-1.638935530170111
523860-04,-0.43596625229315644,118,125,100,220,-0.2922160362315824
523860-04,0.5635751865561593,186,125,95,146,0.5633062641819354
523288-09,-0.14257948452364982,191,211,193,241,-0.2799442795129965
523288-11,1.4527235852459035,131,149,146,153,2.0299066728806467
523288-10,-1.6067983363026632,156,185,153,213,-1.728864285113219
523288-11,0.2815299771455618,130,178,132,188,0.32561322500570505
523288-10,-0.6749923121653313,171,191,141,204,-1.0608381039854555
523860-10,1.936528746980802,153,179,137,234,1.6672578661661768
523860-01,-0.659184054758667,211,222,181,239,-1.7478753033745948
523288-10,1.2144908687265183,154,132,154,218,0.5581110607977149
523288-08,0.5253770570485452,107,157,134,176,0.7506255371814852
523860-10,2.023716924284164,181,218,138,218,1.0431755549765525
523860-01,-1.7736604665099571,203,216,186,241,-2.4988988064350846
523860-04,-0.3949008682409499,107,125,90,173,-0.10815875797683461
523860-10,1.3874241744385771,211,166,137,164,0.6166085423696948
523288-09,-0.4586376766982781,148,166,136,234,-0.5594272990510575
523288-08,-0.34310301765544793,210,222,131,234,-0.3486789392332521
523288-11,-0.8605747056166759,148,172,136,164,-1.151596710721156
523860-04,0.7210103724972734,123,125,105,140,0.9276478985908396
523288-06,-0.862373562911754,211,222,193,233,-0.5732934472526319
523288-09,-0.7052301837264218,187,132,187,238,0.006807588212423887
523860-10,2.4182080166186446,188,173,145,152,2.400828391460421
523860-01,1.524947396515242,161,125,149,195,1.6923866682482929
523288-11,-2.3647696615192717,169,189,135,238,-1.8022900170272749
523288-09,-0.61223588015221,108,222,181,236,-0.7360331231167099
523288-09,0.2681973822718175,188,222,191,235,0.7889877565663128
523288-06,0.17205854404910945,193,222,193,241,-0.17189883434925504
523288-09,-1.0653739091920738,195,210,124,169,-1.7099893262067773
523288-11,-0.5945067851534274,162,132,141,191,-0.5664256909108408
523860-04,-0.31182413286139576,108,132,101,163,-1.0618642956964575
523860-10,-0.8608779155921894,191,164,146,142,-0.8271034726628814
523860-04,0.4660019957100311,113,125,97,140,0.978785175536149
523860-01,-0.05003068021565021,210,220,193,241,-0.09416214188061678
523860-04,-0.4483413081815366,107,125,95,144,0.3622107625736328
523288-09,-0.05452312048473088,149,221,193,241,0.11059150569387513
523860-10,-1.5489178523116218,163,222,190,234,-2.038798479325782
523288-10,1.4919652582094798,151,152,139,241,0.8412763434940357
523288-10,0.15618280765415887,176,168,147,202,0.331855540480296
523288-06,0.7902614673656811,211,222,193,241,1.1232296170525566
523860-01,-0.15412128583772722,208,212,193,241,-0.34522153358886437
523288-09,2.0268552603615775,193,222,185,241,2.8387138239031815
523288-08,-0.5129279686002628,180,146,193,165,-0.2567300400690546
523288-08,0.49304808249140575,151,178,129,174,0.25575423595349805
523288-08,2.54575871533444,153,218,122,241,2.702598179642346
523860-01,0.38024199326139363,157,220,193,239,1.1701337484416117
523288-08,1.0341430914477636,154,179,133,159,1.638812630896838
523288-06,0.22118471236153128,211,221,193,241,-0.6401183260408482
523288-10,-1.8323346126976163,170,181,148,180,-1.883479813082462
523860-04,0.5643066648651724,107,125,103,158,0.788844587219665
523288-10,-1.1185149053304162,163,197,144,201,-0.9950837711939438
523288-08,0.2178925912067304,137,165,136,186,-0.7381921454437448
523288-06,-0.7862126973665682,206,167,123,192,-1.498008686118264
523288-11,-0.669168772730614,158,154,143,237,-0.6124982132245083
523288-06,-1.5678766820287526,211,222,193,241,-2.2651343850825008
523288-06,-1.256467171985309,207,222,193,238,-1.0179425149574093
523860-01,-1.1849798060208592,149,164,105,233,-1.4337922700737546
523288-11,0.03679816017970631,116,146,131,156,1.2248832584347447
523288-09,1.7069469058643743,193,222,192,241,2.236930201919639
523288-10,-1.025679920330116,177,196,153,169,-3.092201493889119
523860-04,0.5257016104036151,125,125,105,144,-0.10596444135150129
523288-10,-0.9190214117642312,165,151,150,210,-1.4070748999099383
523288-11,-0.00883256136903645,154,173,143,173,0.03344421719962391
523860-01,1.2809343571756948,207,136,193,241,0.7078812584940637
523860-10,-0.40762695881646727,125,168,144,151,-0.5536824024879212
523288-09,0.26783950888429364,190,211,189,241,0.6573100849857287
523288-08,0.12723835086181362,155,148,132,190,-0.06372359323256274
523860-10,0.07924141674593693,164,167,142,151,0.2843736017231896
523288-11,-0.8798846284179548,142,188,143,213,-0.9593955797917275
523288-06,-1.8611385821466815,146,221,193,241,-2.2220697021778157
523288-08,-0.3859897812708438,148,134,130,180,-0.6172116783984307
523860-01,0.006666963959780167,141,187,139,186,0.6840319148429176
523288-08,1.0399081754379058,204,169,193,239,0.4549204542200146
523288-06,-0.9143278149825841,211,222,193,241,-0.722262894987492
523860-10,0.7500172687997958,185,152,150,178,1.195767757917935
523288-10,0.14584076625217382,153,155,141,176,-0.2665423539616508
523288-10,-0.03287589032960409,171,143,153,181,0.9656009510932395
523288-08,0.6487077962848105,126,157,134,142,0.8267141739877302
523860-10,-0.07394610158022676,156,184,140,231,-0.3997604661902557
523860-04,-0.4843621702251605,143,140,121,140,-0.6358601337694263
523860-04,-0.5503517226948077,125,133,122,217,0.115255632769248
523288-09,-0.7047314048323775,128,221,193,180,-0.8283868150145945
523288-10,-0.7605644461916948,166,148,149,219,-0.1148478649998661
523288-10,0.9079045323202287,157,157,144,209,0.4669472346692069
523288-08,-0.05543428641471427,149,210,133,176,-1.0884511223339104
523288-11,1.6628384522427857,159,172,132,172,1.1252477450601246
523860-10,1.2352577512962595,210,186,136,232,0.665935191221522
523288-10,1.075697150580766,167,179,150,188,0.7445145321640213
523288-10,-0.48899896370238205,165,142,150,241,0.018746155982401813
523288-11,1.743278388972792,151,125,134,186,1.834695196344171
523288-10,-0.8648580368238259,164,178,144,189,-0.19445548316042394
523860-04,1.531311064035122,130,137,193,155,1.124833364931636
523288-08,0.21250906957791918,161,145,142,175,0.048184192366438866
523288-09,0.24921710953260823,178,222,193,241,-0.28560440632162776
523288-06,0.47883881310889426,208,215,193,226,0.7711060287462219
523860-04,0.6541934901285844,127,125,128,140,0.5924693833024242
523288-08,-0.30312801502519654,137,125,141,163,-0.3481008194498285
523860-04,-1.0775368684026239,132,126,113,145,-0.6906931035909198
523288-11,-0.21498624413252074,148,164,135,191,-0.8736530730311796
523860-10,-0.1512470679841675,150,170,142,156,-0.7370277868533067
523288-08,0.055132577495580995,138,159,131,182,0.5001107837128098
523288-08,-1.0954791399497519,153,134,144,229,-1.463692656563887
523860-01,0.9252485466604382,211,219,191,237,0.1906522538070854
523860-04,-0.3083623536780986,107,125,106,148,-0.8552896465359549
523288-08,0.3690544424523672,122,153,142,172,0.7863970195576786
523288-10,-0.29891011996087913,157,216,145,241,-0.17108033482850993
523288-09,-1.2214907863578182,190,222,192,241,-1.5508225275872365
523288-11,-0.12497955934076155,164,162,127,181,-0.09072533496947045
523288-06,0.1595620748314623,211,222,193,241,-0.6005479723372475
523860-01,0.3119829977221476,203,213,193,241,-0.13042218405962702
523860-10,0.5861408817506352,165,172,131,149,-0.20001575670504446
523288-08,2.1846141643107337,148,149,121,183,1.5748880722839216
523288-08,2.195001327591422,161,151,134,205,2.3786181276582825
523288-08,0.5928020402819012,147,142,134,165,0.5530161745669248
523860-01,-1.7408279043818047,174,209,145,225,-2.811042789476433
523288-10,0.8728983078594588,170,165,145,197,0.9862064041565071
523860-04,-1.9040291947690464,107,125,100,146,-2.083600369309095
523288-06,-0.6193158555612599,211,216,193,241,-0.9603287969140784
523860-04,2.4178071283712965,107,125,94,155,3.636636023720201
523860-01,-1.541000207057334,198,222,193,241,-1.5697872887700444
523288-08,1.7289933431556164,107,168,131,163,1.9312206308559188
523288-06,1.3996703139394904,211,222,193,241,1.5081131426307608
523288-09,1.5283887021589384,189,213,191,235,1.8333396053068185
523288-06,2.9106840345905027,210,222,192,240,1.940910042981863
523288-09,1.9008889608421347,207,222,192,241,1.644249085026132
523860-10,-1.0355458160405595,187,199,140,228,-1.2750215728640932
523860-10,0.6927063452277711,180,180,143,228,0.9567607891667664
523288-11,1.7145750940053235,132,140,134,184,2.211408999667252
523860-10,1.0725199113864277,211,189,142,160,1.0919161888100533
523288-08,-0.37686516278785276,135,183,132,172,-0.2387289152781379
523860-10,-0.9410094459563707,161,125,148,159,-0.4950426126952463
523288-10,-1.8257776610671372,161,176,153,200,-2.1676414441403993
523288-10,0.13295796150922717,148,174,154,191,0.04531247367215466
523860-10,1.10249005865569,147,188,134,147,1.6082907220246572
523288-11,0.7091287740398977,153,132,135,143,0.5887498511774871
523288-09,-0.4432564364096388,186,222,182,241,-1.024614085673774
523288-11,-0.39343148303975445,144,186,128,159,0.17070082944023807
523288-09,1.322995653254909,204,222,193,241,1.8849087882159696
523860-01,-0.06573654063794103,192,221,143,240,-0.017450584083495313
523288-06,2.065955095020922,206,222,193,236,3.1256546359019888
523288-09,0.4262011300816269,147,184,144,165,0.23603080722376474
523288-09,0.07788072898145339,202,221,193,233,0.43550524760793846
523288-10,1.2223624478153554,145,175,150,199,1.4434442137573589
523288-11,0.627418078159799,141,134,133,164,0.3157038002530742
523288-09,-0.740857273846348,143,222,184,239,-0.5146138684252505
523860-01,-0.5385055119340962,211,220,193,241,-0.2551466221241919
523860-04,0.512144707422521,107,125,102,140,0.9513809812349757
523288-10,0.4818673236883657,175,200,154,218,-0.18967384724537284
523860-10,0.7420059093792272,166,175,144,232,0.22746252939401745
523860-04,0.9581728375557924,203,208,193,225,0.8263105781474243
523860-04,0.10820952158821383,107,125,87,140,0.07905049048879496
523288-08,0.6139689333939558,142,125,129,148,-0.09628732337742907
523288-10,-0.535027705469855,164,165,152,186,-1.282568656218836
523860-01,-0.4830280142461439,134,222,193,239,-0.2656207410842364
523288-09,2.5428816467117934,193,220,186,241,2.081381354978031
523288-11,-0.6155831905246087,153,164,133,184,-0.3732333472657323
523860-04,0.15351718981754903,111,166,97,140,-0.31994685290528085
523860-10,0.25578110599709825,169,195,136,240,1.4611729384155097
523288-08,-0.3212524129839052,148,184,132,140,0.3875526238179176
523288-09,-0.6768228581271547,107,130,142,181,-0.6296247651555646
523288-11,1.1423495415394331,164,163,136,190,1.669138558433664
523288-08,-0.428438181732857,156,136,146,145,-1.2528075518863706
523288-08,-0.013482260022211002,150,147,133,171,-0.2432075546040162
523860-01,-0.40219323682363417,205,221,193,241,-1.097471573485839
523860-10,-0.7542041425222363,173,178,187,176,-0.8077681082838094
523288-06,-0.3411431261621044,144,216,144,197,0.7399978815475149
523288-10,1.2619593980811832,163,181,154,192,1.116288953836612
523860-04,0.2645572855565776,107,141,112,140,0.040478775606778705
523288-06,0.24964819366480692,173,191,147,191,0.2698524709886612
523288-11,1.153017623384148,211,222,193,241,0.948659435401407
523860-01,2.102643593440652,211,216,193,241,1.5653629769147783
523288-09,1.0908738215026574,196,140,141,241,0.8458745090603337
523288-10,-0.7790354998688322,156,166,146,180,-0.8436335745144152
523288-10,-0.6704686329670688,181,135,147,217,-0.59436103525677
523288-08,-1.78183556150999,199,133,131,227,-1.1749384874061966
523288-10,2.2787575239888596,135,153,144,232,2.3938609220732454
523288-06,1.5191200157593647,160,222,143,241,0.6675183242844338
523860-01,2.446912423184179,211,211,193,236,2.0597333909569713
523860-01,-1.1798929002151197,201,217,193,240,-1.6931498720912759
523288-10,1.8344966978699067,159,168,151,213,2.2255335933923805
523288-10,0.08933084183463165,177,171,149,184,0.28402036225770333
523860-04,-1.2079163803322022,119,125,93,140,-1.1816717179055616
523288-09,-0.09421887484437186,144,158,139,233,-0.3033440773407039
523288-10,0.08472707127922675,159,172,148,222,-0.3408751021110158
523288-09,-0.8728240387869901,179,212,193,230,-1.3650002772170045
523860-04,-0.3676774665541371,135,125,119,140,-0.7140603787047984
523288-10,-0.792769168494318,200,168,144,218,-1.200407642335269
523288-06,-0.788678246714807,210,222,193,241,-0.6973933783757346
523860-01,0.5115792897827266,189,222,193,241,1.4123358610048582
523288-09,-0.7711260885510384,181,213,192,237,-0.8196092394520486
523288-06,-0.45022035243200037,196,222,193,240,-0.4974942992956145
523860-10,0.06339110502651012,171,184,137,157,-0.21994587054759357
523860-04,0.23064721006216182,117,133,193,221,0.4235116124403233
523288-09,1.172354992191319,199,220,183,232,1.3163401427149377
523288-08,-0.45912520590641753,124,171,129,184,-0.505052952924266
523288-10,-0.7940032125711466,158,150,149,193,-0.755736449536745
523288-06,2.193271528876388,211,213,193,241,1.3461332212395614
523288-06,-1.5886613049871448,211,222,193,241,-1.195609421274391
523288-06,0.8041713344268017,211,204,193,234,1.1821805271029224
523288-10,-0.678303076465998,171,132,143,201,-1.0714367997556484
523288-10,0.4088717931534116,156,191,147,210,0.6157166544961123
523860-04,-1.3249310865571,115,125,89,140,-0.4471073820901823
523860-10,0.8356214043343162,169,200,142,227,1.1827997247884354
523860-01,-1.129999981627671,211,216,193,241,-0.7449282428017654
523860-01,-0.013242628724878282,211,155,193,241,-0.19234153455916508
523288-09,-1.289990159833026,186,212,193,229,-0.6539282406828705
523288-09,-0.0404061641084049,198,220,181,188,-0.13616695288867472
523860-10,-0.1921615657597238,156,203,124,228,0.09130120633034569
523288-06,-0.0699942069584575,208,222,191,241,-0.13454298313757973
523288-10,-0.6572544384976721,173,181,144,175,2.8827630665029247e-05
523288-09,-1.071578082831739,191,222,193,239,-2.5220178628106096
523860-04,1.9936628544028032,129,125,110,140,1.3093438360082565
523288-11,-0.5603481040524665,149,174,144,168,-0.07309976341320912
523288-06,0.7993518150388687,206,214,193,241,0.5615349891157848
523288-08,-0.3750534242026198,191,222,137,186,-0.3893065669441019
523860-01,-0.10820744405677708,211,222,193,229,-0.017170755835374127
523288-09,-0.20757363940905588,183,216,106,237,0.08175638991058026
523860-01,0.3039563424464509,206,126,193,183,0.6531199793897633
523860-04,-1.004931105126184,151,125,119,140,-1.409274876932551
523288-10,0.09713575855072921,167,150,145,214,0.007970125553925705
523288-06,-1.083299759924039,210,222,193,238,-0.880303947276027
523288-09,-1.9913290687260354,189,219,193,236,-1.9195728448443332
523860-01,-0.06178254649784657,211,218,193,241,0.06878672152124737
523860-01,0.6647746868834322,202,211,193,241,1.3117854730045728
523288-09,-0.7213737243099508,198,219,193,241,-0.13303642913584612
523288-10,-2.083556054569817,153,184,149,213,-2.035011942890882
523860-04,-0.8426520304079262,187,125,113,140,-0.7350942148048474
523288-10,1.7279065282142172,168,177,144,203,1.8682193813848136
523860-10,0.11324847862878895,170,205,142,174,0.508409900807061
523288-06,1.1084112431558681,203,222,193,180,0.5304186301934453
523860-04,2.485055500538024,107,125,111,142,2.945193622099495
523860-01,0.57342974204286,211,210,193,239,0.011347227569134644
523288-10,1.0759346927713438,208,222,138,180,1.7211757563184078
523860-01,-0.3001568246419072,207,215,193,241,-0.9745630813746756
523288-10,2.3223470628684795,163,173,152,205,2.565230817076051
523860-01,1.106683459955229,211,222,108,226,1.6060503645241087
523288-09,-1.0264279129603417,188,218,193,238,-0.5926505855157322
523288-08,-0.6859114642119918,129,174,138,158,-1.2265092715842871
523860-01,0.43719214411237645,206,222,193,241,1.3499831607413395
523860-04,0.7311437729804969,139,125,96,230,0.9571470078614941
523288-11,-1.104431218433456,143,134,139,177,-0.7273827180083021
523860-01,0.7638051260743037,207,222,193,241,1.2929583772839908
523860-10,0.005677538501886052,210,189,144,228,-0.0030326288411237816
523288-11,-0.3106924875256906,136,125,139,180,-0.2187864888549042
523288-08,-0.4505362075087481,169,149,131,167,0.2505536587346422
523860-10,-0.01897250807741979,155,206,135,153,0.46458415004936954
523288-11,-1.5387547228575527,131,173,144,148,-1.3239994025535395
523860-10,-0.26193556167982246,170,191,141,177,-0.8412460945370209
523860-04,-0.9052640281014644,131,129,138,174,-0.8858664918599696
523288-11,1.6801235907874033,154,175,134,209,1.8685555799762974
523860-04,-0.3407247386442697,130,125,105,141,-1.2967914119889774
523288-10,1.2912726605484257,124,184,153,241,0.9762485317585428
523860-04,0.6325793402058616,163,125,99,140,0.4206599219078929
523288-11,-1.339615714834579,160,148,144,170,-0.46573976619893187
523288-08,-1.205641123536103,158,157,142,179,-1.3171714974593605
523288-11,1.714531480675179,157,216,144,184,1.8307917783886314
523288-06,0.8097420534709957,211,222,193,241,2.0886775260025283
523288-10,-0.35670031582566764,211,184,149,241,-0.038357298251900984
523288-10,1.0510359332951271,211,222,193,217,0.8371832699910887
523288-06,-1.7226188099979929,107,220,193,241,-1.8744160871617188
523288-09,2.0365140102865427,196,218,193,238,2.1665914001144526
523860-01,2.460005427991216,204,167,193,230,2.8346372327592158
523288-11,0.5762400532650257,135,176,193,193,0.6900810728716045
523860-04,0.9617663324875947,107,129,87,140,0.7094383255967518
523860-04,0.1211310942615991,124,125,114,140,-0.6163053488634871
523288-08,-0.15141648842096356,107,222,135,172,0.7178474824555839
523288-10,0.6073189941399163,172,188,151,203,0.9746313917366485
523860-04,-0.5890680203706449,107,125,132,140,-0.0165749330058248
523860-10,3.1248688034846928,176,167,139,232,3.7317671996566864
523288-08,-0.036578156417416706,192,150,131,174,-0.2480517431540122
523288-06,1.6615689030437626,204,222,193,233,1.1633335159627247
523288-09,0.49152956763236694,200,216,193,228,0.9968331353477089
523860-04,1.6177035241592115,107,125,108,140,1.3366299426046675
523288-10,-2.3883468460574053,179,142,145,203,-2.7648352422057556
523860-10,1.1872055134619168,177,166,145,140,1.2442802759194505
523860-04,-0.352514381501577,114,125,111,220,-0.8150334836513241
523860-01,0.7728127278679863,197,212,137,241,0.3068072936266982
523860-01,-2.5420739674429003,208,215,193,241,-3.4397156807260365
523288-08,1.0341619826130701,145,159,126,170,1.1435360198400588
523860-10,0.219982800949706,162,187,144,226,-0.40178437328201777
523288-09,0.060865550301973846,137,219,146,238,-0.4171163932599014
523288-06,1.0090536240909118,204,171,193,224,-0.3934138051596028
523860-01,-1.770467925229159,154,217,120,167,-1.918132596753883
523288-08,-0.8370634654044646,195,153,142,174,-0.16807597625799564
523860-01,1.0170127205825206,153,135,189,234,1.3290176483845855
523860-01,-2.057046228195901,211,222,193,241,-1.8639903023712128
523860-04,0.2938819919523202,109,148,98,140,0.4958510360832882
523288-08,0.09113620479225068,195,158,132,180,0.770997089783163
523288-06,1.7699254517248137,211,222,193,241,1.732358990499002
523288-06,-0.9965985864554688,211,222,193,241,-0.5549143777910425
523288-09,-0.16591334673713712,186,218,188,239,-0.5430360220335443
523288-10,0.1376164265569335,164,145,148,241,-0.36346896396681716
523860-10,0.8792211370219326,175,196,140,160,1.1098799958442562
523288-06,0.9605771569353122,198,222,186,227,0.2901072453316228
523860-04,-1.3644664022121182,118,144,93,150,-1.2954364962905405
523288-10,0.32415146348790985,178,156,142,193,0.38195431535053476
523288-11,-0.8501618086767352,114,165,131,171,-1.6631110800279174
523860-04,-2.422367769268739,132,125,126,140,-1.9490079593621488
523288-11,0.4953513176630686,145,153,137,140,-0.07515932370064127
523288-06,0.9019118048370877,209,218,193,233,1.6177898671452904
523288-08,0.6440577915669,145,145,193,198,0.15912819579946713
523860-04,0.9136364336094382,107,125,90,140,0.28631646280929046
523860-04,-1.8130118734241878,151,125,123,144,-1.5183866239349113
523288-06,1.766141552520908,211,222,193,237,1.5611033145882958
523860-10,-0.6413085173145527,192,141,143,225,-0.8218214266607203
523860-01,0.11942279420278654,206,218,193,235,-0.8049622304703653
523288-08,-1.656725820826651,114,130,118,178,-2.0862329527690524
523288-10,-0.18736406832954022,172,142,143,192,-0.25849731993303615
523860-01,-0.9990167879346028,211,222,187,239,-1.3562853949294147
523860-04,1.0072657155273792,136,125,98,155,0.7141163427014465
523288-10,1.0173958534302818,168,161,146,208,0.14984669262407369
523288-10,0.569286065014353,123,165,142,195,0.6507845834966788
523288-10,0.12437826393886982,168,167,136,214,0.43979137664358464
523288-09,1.0345862608331313,182,216,182,185,0.9760686197146952
523288-11,0.2150003707191163,128,140,138,153,0.09110918736499785
523288-11,-0.29320019294152794,200,222,176,240,-1.21960871341878
523288-06,1.029689911970098,211,144,193,241,0.5922689843973428
523860-10,-1.4736120137023856,143,158,144,144,-1.539574826763279
523860-10,-2.3029924373399617,211,183,151,182,-3.223391617235621
523860-04,0.5336600072679725,138,125,109,140,1.0767094924435487
523288-09,-0.8450212720261163,142,125,138,241,-1.274057227730353
523288-08,-0.368188247590632,148,130,139,157,0.17817644903811808
523288-08,-0.09694599238388323,137,156,135,140,0.4104470562525382
523860-04,-0.016526797901256933,169,125,101,147,-0.1618819262997993
523288-10,-1.445040007961748,167,175,148,194,-1.1005953681612137
523288-11,1.03944447896933,155,154,138,185,1.5534840062215112
523288-10,0.6542567354903229,211,194,144,188,0.4197833694705946
523860-04,0.26481599355871005,141,125,101,140,-0.2737951101503902
523288-08,0.6358449890927924,205,222,130,231,0.948123371323867
523288-09,-0.08335726630949802,196,222,193,241,-0.20678237834399135
523288-08,0.2664029472456558,148,214,129,172,0.46255066435798287
523860-04,0.7300916182491087,107,207,117,140,1.1396673585066788
523860-10,-1.425488041943901,159,167,135,218,-0.43343311965633136
523288-10,-0.3891517419211049,206,214,193,241,0.05243881716123655
523288-11,0.13081082639730096,165,135,146,140,0.8314672777864456
523860-04,-2.209224857909783,118,141,118,162,-1.9409545486006095
523288-08,-0.8434689971640167,208,218,175,238,-1.9704483586288264
523288-09,2.301405811985873,194,217,193,239,3.2786910967025618
523860-10,0.5871648507749212,162,169,137,237,0.9228802606089979
523288-11,0.49826315400387394,145,222,181,235,-0.24332270489387325
523288-10,-0.23662306909595712,170,190,117,204,-0.9733279204908124
523860-10,0.3830843992151565,161,192,137,145,0.7529660032313397
523860-10,-0.98015724596885,163,183,153,159,-0.043106861447820055
523288-11,-0.8911041636005234,200,133,140,147,-0.9394754484533722
523288-08,0.5618381890505645,147,144,121,174,1.6880004104821293
523860-10,1.186750442871705,173,190,135,179,1.4493126020812654
523288-10,0.260728296688997,142,188,143,185,0.08676472025551704
523860-04,0.5613031554262418,123,153,103,152,0.3533051709929387
523860-01,-0.35523697090738193,156,178,145,238,0.050266276254161524
523860-01,0.05781113001921777,211,217,193,241,0.4192163670406491
523288-06,0.4163200916595916,211,219,193,240,0.785540776147263
523860-10,1.245888995930158,158,177,144,140,0.5498368642905643
523288-10,1.3769367657326896,174,189,147,204,1.4190867832920284
523288-06,-1.6557658901329664,211,129,153,155,-0.9834001948664519
523288-06,-0.21525284111244072,211,222,193,190,-0.6623560613337285
523288-09,-0.64077411695541,183,206,186,232,-1.2115005229414608
523860-04,-2.057391591859864,107,125,102,140,-2.0861652151582417
523288-10,1.5775045456654497,157,176,137,209,1.8064531548380243
523288-06,0.5340234574230465,211,222,193,241,0.46684071697018914
523860-04,-0.16307729085260625,107,125,90,140,0.02540613738661604
523288-08,0.1665202655819147,210,217,182,237,-0.0018072994428650346
523288-11,0.44508425730192686,157,152,138,153,0.5476289311827301
523288-08,0.8144618678147575,136,128,131,160,1.5549279488621748
523860-01,0.40550232601450464,142,170,141,235,-0.5223390514451166
523860-10,-0.05136755049831385,145,187,140,228,0.41893804076981656
523288-11,0.33456607340101,164,165,134,204,0.9591064356453214
523860-10,0.7393900256295972,166,194,144,218,0.5915410016989299
523288-08,0.27307848811454105,135,219,128,150,0.14650543398511923
523288-10,0.8683589268097551,176,155,155,167,-0.8414292252664302
523860-10,-1.1302400613604342,164,204,136,236,-0.8345681809666963
523288-11,-0.2033388930771263,160,172,132,151,0.16696729922775308
523860-01,-0.9411869137946252,135,141,146,175,-1.1548493393089587
523288-11,-1.3206568586591567,177,168,134,233,-0.5684189296859528
523860-01,1.2347951840617022,204,205,193,241,0.20617101363456825
523860-01,-1.1919124946987647,201,211,188,241,-1.240027821904676
523288-06,0.25838197327356555,208,219,193,239,-0.2522463648228325
523288-11,-0.4388644803374602,135,148,131,169,-0.013703897198927006
523860-10,0.6684983237777592,162,183,140,142,0.44252317937927554
523288-10,0.7854702335304745,180,192,193,241,1.6687041930718585
523860-04,-1.1574447129702163,107,125,87,145,-0.9637320739150731
523288-06,0.20045971353039566,211,222,193,235,-0.16075125822725395
523860-10,0.41547800001063345,159,200,141,140,0.5296438233728313
