,DS_85_port1_Return Loss_Result,DS_85_port1_Insertion Loss_Result,DS_85_port1_Insertion Tilt_Result,DS_85_port1_Isolation_Result,DS_85_port1_Max Delta 1_Result,DS_85_port1_Max Delta 2_Result,DS_85_port2_Return Loss_Result,DS_85_port2_Insertion Loss_Result,DS_85_port2_Insertion Tilt_Result,DS_85_port2_Isolation_Result,DS_85_port2_Max Delta 1_Result,DS_85_port4_Max Delta 2_Result,DS_85_port4_PORT-4_Result,DS_85_port4_Return Loss_Result,DS_85_port4_Insertion Loss_Result,DS_85_port4_Insertion Tilt_Result,DS_204_port1_Return Loss_Result,DS_204_port1_Insertion Loss_Result,DS_204_port1_Insertion Tilt_Result,DS_204_port1_Isolation_Result,DS_204_port1_Max Delta 1_Result,DS_204_port1_Max Delta 2_Result,DS_204_port2_Return Loss_Result,DS_204_port2_Insertion Loss_Result,DS_204_port2_Insertion Tilt_Result,DS_204_port2_Isolation_Result,DS_204_port2_Max Delta 1_Result,DS_204_port4_Max Delta 2_Result,DS_204_port4_PORT-4_Result,DS_204_port4_Return Loss_Result,DS_204_port4_Insertion Loss_Result,DS_204_port4_Insertion Tilt_Result,US_85_port1_Return Loss_Result,US_85_port1_Insertion Loss_Result,US_85_port1_PORT-2_Result,US_85_port2_Insertion Loss_Result,US_85_port2_PORT-3_Result,US_85_port3_Insertion Loss_Result,US_85_port3_PORT-4_Result,US_85_port4_Insertion Loss_Result,US_85_port4_----------------------------------------_Result,US_204_port1_Return Loss_Result,US_204_port1_Insertion Loss_Result,US_204_port1_PORT-2_Result,US_204_port2_Insertion Loss_Result,US_204_port2_PORT-3_Result,US_204_port3_Insertion Loss_Result,US_204_port3_PORT-4_Result,US_204_port4_Insertion Loss_Result,US_204_port4_----------------------------------------_Result,kpi
105210112130,-16.84,-16.84,-16.84,-16.84,-16.84,-16.84,-16.8,-16.8,-16.8,-16.8,-16.8,0.95,0.95,0.95,0.95,0.95,-16.62,-16.62,-16.62,-16.62,-16.62,-16.62,-16.64,-16.64,-16.64,-16.64,-16.64,0.9,0.9,0.9,0.9,0.9,-17.26,-17.26,-17.26,10.96,10.96,10.79,10.79,10.75,10.75,-15.24,-15.24,-15.24,10.98,10.98,10.89,10.89,10.91,10.91,FAILED
105205210319,-15.71,-15.71,-15.71,-15.71,-15.71,-15.71,-15.73,-15.73,-15.73,-15.73,-15.73,0.83,0.83,0.83,0.83,0.83,-15.06,-15.06,-15.06,-15.06,-15.06,-15.06,-15.09,-15.09,-15.09,-15.09,-15.09,0.78,0.78,0.78,0.78,0.78,-16.96,-16.96,-16.96,11.03,11.03,11.04,11.04,11.02,11.02,-15.99,-15.99,-15.99,11.21,11.21,11.35,11.35,11.12,11.12,PASSED
105205110861,-15.52,-15.52,-15.52,-15.52,-15.52,-15.52,-15.14,-15.14,-15.14,-15.14,-15.14,1.35,1.35,1.35,1.35,1.35,-15.41,-15.41,-15.41,-15.41,-15.41,-15.41,-15.1,-15.1,-15.1,-15.1,-15.1,1.15,1.15,1.15,1.15,1.15,-17.21,-17.21,-17.21,10.85,10.85,10.94,10.94,10.54,10.54,-15.78,-15.78,-15.78,11.11,11.11,11.29,11.29,10.89,10.89,PASSED
105201610325,-15.2,-15.2,-15.2,-15.2,-15.2,-15.2,-15.19,-15.19,-15.19,-15.19,-15.19,1.33,1.33,1.33,1.33,1.33,-15.09,-15.09,-15.09,-15.09,-15.09,-15.09,-15.33,-15.33,-15.33,-15.33,-15.33,1.12,1.12,1.12,1.12,1.12,-16.11,-16.11,-16.11,10.62,10.62,10.88,10.88,10.65,10.65,-15.47,-15.47,-15.47,10.77,10.77,11.02,11.02,10.87,10.87,PASSED
105201510306,-16.35,-16.35,-16.35,-16.35,-16.35,-16.35,-16.96,-16.96,-16.96,-16.96,-16.96,1.08,1.08,1.08,1.08,1.08,-15.25,-15.25,-15.25,-15.25,-15.25,-15.25,-15.27,-15.27,-15.27,-15.27,-15.27,0.86,0.86,0.86,0.86,0.86,-16.3,-16.3,-16.3,10.9,10.9,10.76,10.76,10.68,10.68,-15.71,-15.71,-15.71,10.98,10.98,11.06,11.06,11.05,11.05,PASSED
105205210095,-15.16,-15.16,-15.16,-15.16,-15.16,-15.16,-15.12,-15.12,-15.12,-15.12,-15.12,1.25,1.25,1.25,1.25,1.25,-15.71,-15.71,-15.71,-15.71,-15.71,-15.71,-15.67,-15.67,-15.67,-15.67,-15.67,1.1,1.1,1.1,1.1,1.1,-16.8,-16.8,-16.8,11.02,11.02,11.04,11.04,11.03,11.03,-15.73,-15.73,-15.73,11.04,11.04,11.11,11.11,10.91,10.91,PASSED
105205210201,-15.54,-15.54,-15.54,-15.54,-15.54,-15.54,-17.74,-17.74,-17.74,-17.74,-17.74,0.98,0.98,0.98,0.98,0.98,-17.33,-17.33,-17.33,-17.33,-17.33,-17.33,-17.29,-17.29,-17.29,-17.29,-17.29,0.91,0.91,0.91,0.91,0.91,-17.47,-17.47,-17.47,10.89,10.89,10.91,10.91,10.69,10.69,-14.62,-14.62,-14.62,11.03,11.03,11.07,11.07,10.99,10.99,PASSED
105204410890,-15.4,-15.4,-15.4,-15.4,-15.4,-15.4,-15.89,-15.89,-15.89,-15.89,-15.89,1.21,1.21,1.21,1.21,1.21,-15.11,-15.11,-15.11,-15.11,-15.11,-15.11,-16.62,-16.62,-16.62,-16.62,-16.62,1.02,1.02,1.02,1.02,1.02,-17.25,-17.25,-17.25,10.64,10.64,11.04,11.04,10.77,10.77,-15.24,-15.24,-15.24,11.09,11.09,10.99,10.99,10.86,10.86,PASSED
105205110758,-15.44,-15.44,-15.44,-15.44,-15.44,-15.44,-16.07,-16.07,-16.07,-16.07,-16.07,1.02,1.02,1.02,1.02,1.02,-15.58,-15.58,-15.58,-15.58,-15.58,-15.58,-15.87,-15.87,-15.87,-15.87,-15.87,1.04,1.04,1.04,1.04,1.04,-16.33,-16.33,-16.33,10.69,10.69,10.92,10.92,10.93,10.93,-15.36,-15.36,-15.36,10.98,10.98,10.99,10.99,10.99,10.99,PASSED
105205210127,-16.22,-16.22,-16.22,-16.22,-16.22,-16.22,-17.44,-17.44,-17.44,-17.44,-17.44,0.63,0.63,0.63,0.63,0.63,-15.47,-15.47,-15.47,-15.47,-15.47,-15.47,-17.65,-17.65,-17.65,-17.65,-17.65,0.83,0.83,0.83,0.83,0.83,-16.49,-16.49,-16.49,10.89,10.89,10.95,10.95,10.64,10.64,-16.26,-16.26,-16.26,10.92,10.92,11.1,11.1,10.77,10.77,PASSED
105204210944,-17.32,-17.32,-17.32,-17.32,-17.32,-17.32,-17.3,-17.3,-17.3,-17.3,-17.3,0.82,0.82,0.82,0.82,0.82,-16.51,-16.51,-16.51,-16.51,-16.51,-16.51,-16.47,-16.47,-16.47,-16.47,-16.47,1.02,1.02,1.02,1.02,1.02,-16.27,-16.27,-16.27,11.12,11.12,11.13,11.13,11.12,11.12,-15.91,-15.91,-15.91,11.21,11.21,11.21,11.21,11.21,11.21,FAILED
105204410949,-15.18,-15.18,-15.18,-15.18,-15.18,-15.18,-15.86,-15.86,-15.86,-15.86,-15.86,1.06,1.06,1.06,1.06,1.06,-15.31,-15.31,-15.31,-15.31,-15.31,-15.31,-15.16,-15.16,-15.16,-15.16,-15.16,1.14,1.14,1.14,1.14,1.14,-15.32,-15.32,-15.32,10.95,10.95,10.97,10.97,10.96,10.96,-15.14,-15.14,-15.14,10.79,10.79,11.07,11.07,11.06,11.06,PASSED
105205210217,-15.55,-15.55,-15.55,-15.55,-15.55,-15.55,-15.84,-15.84,-15.84,-15.84,-15.84,1.03,1.03,1.03,1.03,1.03,-15.48,-15.48,-15.48,-15.48,-15.48,-15.48,-15.91,-15.91,-15.91,-15.91,-15.91,0.9,0.9,0.9,0.9,0.9,-17.05,-17.05,-17.05,10.91,10.91,11.06,11.06,10.73,10.73,-15.11,-15.11,-15.11,10.97,10.97,10.79,10.79,10.6,10.6,PASSED
105205210034,-15.9,-15.9,-15.9,-15.9,-15.9,-15.9,-15.89,-15.89,-15.89,-15.89,-15.89,1.26,1.26,1.26,1.26,1.26,-16.04,-16.04,-16.04,-16.04,-16.04,-16.04,-15.24,-15.24,-15.24,-15.24,-15.24,1.13,1.13,1.13,1.13,1.13,-17.71,-17.71,-17.71,11.0,11.0,11.27,11.27,11.02,11.02,-15.2,-15.2,-15.2,11.07,11.07,11.06,11.06,11.06,11.06,PASSED
105200611430,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,-16.65,-16.65,-16.65,-16.65,-16.65,0.87,0.87,0.87,0.87,0.87,-15.08,-15.08,-15.08,-15.08,-15.08,-15.08,-15.01,-15.01,-15.01,-15.01,-15.01,0.81,0.81,0.81,0.81,0.81,-17.48,-17.48,-17.48,10.77,10.77,10.88,10.88,10.87,10.87,-15.26,-15.26,-15.26,10.78,10.78,10.96,10.96,10.96,10.96,PASSED
105210111989,-16.85,-16.85,-16.85,-16.85,-16.85,-16.85,-15.33,-15.33,-15.33,-15.33,-15.33,0.85,0.85,0.85,0.85,0.85,-15.92,-15.92,-15.92,-15.92,-15.92,-15.92,-15.22,-15.22,-15.22,-15.22,-15.22,0.88,0.88,0.88,0.88,0.88,-16.97,-16.97,-16.97,11.01,11.01,11.04,11.04,10.35,10.35,-15.61,-15.61,-15.61,11.02,11.02,11.07,11.07,10.75,10.75,FAILED
105205210308,-15.12,-15.12,-15.12,-15.12,-15.12,-15.12,-17.27,-17.27,-17.27,-17.27,-17.27,1.43,1.43,1.43,1.43,1.43,-15.53,-15.53,-15.53,-15.53,-15.53,-15.53,-15.21,-15.21,-15.21,-15.21,-15.21,1.12,1.12,1.12,1.12,1.12,-18.89,-18.89,-18.89,10.95,10.95,11.04,11.04,10.79,10.79,-15.63,-15.63,-15.63,11.01,11.01,10.97,10.97,10.82,10.82,PASSED
105210112136,-15.97,-15.97,-15.97,-15.97,-15.97,-15.97,-15.34,-15.34,-15.34,-15.34,-15.34,1.0,1.0,1.0,1.0,1.0,-15.19,-15.19,-15.19,-15.19,-15.19,-15.19,-15.19,-15.19,-15.19,-15.19,-15.19,0.94,0.94,0.94,0.94,0.94,-17.48,-17.48,-17.48,9.95,9.95,10.77,10.77,10.67,10.67,-16.06,-16.06,-16.06,11.08,11.08,11.05,11.05,10.74,10.74,PASSED
105205110906,-16.28,-16.28,-16.28,-16.28,-16.28,-16.28,-16.26,-16.26,-16.26,-16.26,-16.26,1.37,1.37,1.37,1.37,1.37,-17.11,-17.11,-17.11,-17.11,-17.11,-17.11,-15.03,-15.03,-15.03,-15.03,-15.03,1.2,1.2,1.2,1.2,1.2,-17.36,-17.36,-17.36,10.76,10.76,11.04,11.04,11.05,11.05,-15.99,-15.99,-15.99,11.35,11.35,11.06,11.06,11.06,11.06,PASSED
105205110825,-15.38,-15.38,-15.38,-15.38,-15.38,-15.38,-15.86,-15.86,-15.86,-15.86,-15.86,0.9,0.9,0.9,0.9,0.9,-18.82,-18.82,-18.82,-18.82,-18.82,-18.82,-15.81,-15.81,-15.81,-15.81,-15.81,0.83,0.83,0.83,0.83,0.83,-16.88,-16.88,-16.88,10.78,10.78,11.23,11.23,10.75,10.75,-15.36,-15.36,-15.36,11.1,11.1,11.08,11.08,10.93,10.93,PASSED
105204610649,-16.99,-16.99,-16.99,-16.99,-16.99,-16.99,-16.72,-16.72,-16.72,-16.72,-16.72,0.81,0.81,0.81,0.81,0.81,-15.21,-15.21,-15.21,-15.21,-15.21,-15.21,-15.31,-15.31,-15.31,-15.31,-15.31,1.07,1.07,1.07,1.07,1.07,-17.73,-17.73,-17.73,11.36,11.36,11.36,11.36,11.35,11.35,-15.58,-15.58,-15.58,11.41,11.41,11.42,11.42,11.42,11.42,PASSED
105204610558,-16.45,-16.45,-16.45,-16.45,-16.45,-16.45,-17.45,-17.45,-17.45,-17.45,-17.45,0.89,0.89,0.89,0.89,0.89,-15.38,-15.38,-15.38,-15.38,-15.38,-15.38,-18.43,-18.43,-18.43,-18.43,-18.43,0.79,0.79,0.79,0.79,0.79,-16.09,-16.09,-16.09,10.63,10.63,10.94,10.94,10.72,10.72,-16.86,-16.86,-16.86,10.8,10.8,10.93,10.93,10.71,10.71,PASSED
105205210087,-16.23,-16.23,-16.23,-16.23,-16.23,-16.23,-15.62,-15.62,-15.62,-15.62,-15.62,1.4,1.4,1.4,1.4,1.4,-16.18,-16.18,-16.18,-16.18,-16.18,-16.18,-16.25,-16.25,-16.25,-16.25,-16.25,1.32,1.32,1.32,1.32,1.32,-15.75,-15.75,-15.75,10.53,10.53,10.88,10.88,10.63,10.63,-16.41,-16.41,-16.41,11.01,11.01,10.84,10.84,10.67,10.67,PASSED
105205210401,-15.77,-15.77,-15.77,-15.77,-15.77,-15.77,-17.69,-17.69,-17.69,-17.69,-17.69,1.1,1.1,1.1,1.1,1.1,-15.39,-15.39,-15.39,-15.39,-15.39,-15.39,-17.24,-17.24,-17.24,-17.24,-17.24,0.95,0.95,0.95,0.95,0.95,-19.83,-19.83,-19.83,10.92,10.92,10.76,10.76,10.55,10.55,-15.14,-15.14,-15.14,10.91,10.91,10.98,10.98,10.66,10.66,PASSED
105195010556,-17.04,-17.04,-17.04,-17.04,-17.04,-17.04,-16.41,-16.41,-16.41,-16.41,-16.41,0.9,0.9,0.9,0.9,0.9,-16.4,-16.4,-16.4,-16.4,-16.4,-16.4,-16.52,-16.52,-16.52,-16.52,-16.52,0.8,0.8,0.8,0.8,0.8,-15.33,-15.33,-15.33,10.72,10.72,10.9,10.9,10.7,10.7,-16.12,-16.12,-16.12,10.95,10.95,10.75,10.75,10.75,10.75,PASSED
105205210334,-16.59,-16.59,-16.59,-16.59,-16.59,-16.59,-16.6,-16.6,-16.6,-16.6,-16.6,1.56,1.56,1.56,1.56,1.56,-15.75,-15.75,-15.75,-15.75,-15.75,-15.75,-15.75,-15.75,-15.75,-15.75,-15.75,1.55,1.55,1.55,1.55,1.55,-17.65,-17.65,-17.65,11.26,11.26,11.26,11.26,11.26,11.26,-15.74,-15.74,-15.74,11.41,11.41,11.4,11.4,11.4,11.4,PASSED
105205210586,-15.47,-15.47,-15.47,-15.47,-15.47,-15.47,-16.25,-16.25,-16.25,-16.25,-16.25,1.08,1.08,1.08,1.08,1.08,-15.5,-15.5,-15.5,-15.5,-15.5,-15.5,-17.46,-17.46,-17.46,-17.46,-17.46,0.99,0.99,0.99,0.99,0.99,-16.65,-16.65,-16.65,11.11,11.11,10.81,10.81,10.72,10.72,-15.19,-15.19,-15.19,11.2,11.2,11.02,11.02,10.91,10.91,PASSED
105205210032,-15.4,-15.4,-15.4,-15.4,-15.4,-15.4,-16.52,-16.52,-16.52,-16.52,-16.52,1.19,1.19,1.19,1.19,1.19,-15.18,-15.18,-15.18,-15.18,-15.18,-15.18,-16.97,-16.97,-16.97,-16.97,-16.97,0.96,0.96,0.96,0.96,0.96,-16.27,-16.27,-16.27,10.62,10.62,10.81,10.81,10.58,10.58,-15.39,-15.39,-15.39,10.6,10.6,10.92,10.92,10.97,10.97,PASSED
105205110864,-15.77,-15.77,-15.77,-15.77,-15.77,-15.77,-16.19,-16.19,-16.19,-16.19,-16.19,1.23,1.23,1.23,1.23,1.23,-15.04,-15.04,-15.04,-15.04,-15.04,-15.04,-16.22,-16.22,-16.22,-16.22,-16.22,1.23,1.23,1.23,1.23,1.23,-16.03,-16.03,-16.03,11.12,11.12,10.82,10.82,10.6,10.6,-15.81,-15.81,-15.81,11.14,11.14,11.12,11.12,10.85,10.85,FAILED
105204610524,-17.66,-17.66,-17.66,-17.66,-17.66,-17.66,-17.39,-17.39,-17.39,-17.39,-17.39,0.7,0.7,0.7,0.7,0.7,-16.91,-16.91,-16.91,-16.91,-16.91,-16.91,-17.49,-17.49,-17.49,-17.49,-17.49,0.7,0.7,0.7,0.7,0.7,-16.54,-16.54,-16.54,10.74,10.74,10.91,10.91,10.47,10.47,-16.99,-16.99,-16.99,11.08,11.08,10.95,10.95,10.73,10.73,PASSED
105205210381,-16.49,-16.49,-16.49,-16.49,-16.49,-16.49,-15.33,-15.33,-15.33,-15.33,-15.33,1.27,1.27,1.27,1.27,1.27,-15.8,-15.8,-15.8,-15.8,-15.8,-15.8,-17.07,-17.07,-17.07,-17.07,-17.07,0.95,0.95,0.95,0.95,0.95,-17.06,-17.06,-17.06,10.93,10.93,11.14,11.14,10.85,10.85,-15.09,-15.09,-15.09,11.18,11.18,11.16,11.16,11.09,11.09,PASSED
105210313185,-15.83,-15.83,-15.83,-15.83,-15.83,-15.83,-15.42,-15.42,-15.42,-15.42,-15.42,0.97,0.97,0.97,0.97,0.97,-15.02,-15.02,-15.02,-15.02,-15.02,-15.02,-15.94,-15.94,-15.94,-15.94,-15.94,0.98,0.98,0.98,0.98,0.98,-16.02,-16.02,-16.02,11.21,11.21,11.21,11.21,10.85,10.85,-15.78,-15.78,-15.78,11.37,11.37,11.38,11.38,11.39,11.39,PASSED
105204410908,-16.12,-16.12,-16.12,-16.12,-16.12,-16.12,-16.0,-16.0,-16.0,-16.0,-16.0,1.42,1.42,1.42,1.42,1.42,-16.1,-16.1,-16.1,-16.1,-16.1,-16.1,-15.82,-15.82,-15.82,-15.82,-15.82,1.33,1.33,1.33,1.33,1.33,-15.49,-15.49,-15.49,10.61,10.61,11.18,11.18,11.16,11.16,-15.77,-15.77,-15.77,11.23,11.23,11.22,11.22,11.23,11.23,PASSED
105204410552,-16.21,-16.21,-16.21,-16.21,-16.21,-16.21,-16.62,-16.62,-16.62,-16.62,-16.62,3.14,3.14,3.14,3.14,3.14,-15.52,-15.52,-15.52,-15.52,-15.52,-15.52,-16.72,-16.72,-16.72,-16.72,-16.72,3.06,3.06,3.06,3.06,3.06,-16.29,-16.29,-16.29,10.67,10.67,10.7,10.7,10.54,10.54,0.03,0.03,0.03,11.0,11.0,10.91,10.91,10.97,10.97,PASSED
105205210161,-15.75,-15.75,-15.75,-15.75,-15.75,-15.75,-15.74,-15.74,-15.74,-15.74,-15.74,0.79,0.79,0.79,0.79,0.79,-15.17,-15.17,-15.17,-15.17,-15.17,-15.17,-15.23,-15.23,-15.23,-15.23,-15.23,1.34,1.34,1.34,1.34,1.34,-16.53,-16.53,-16.53,10.69,10.69,10.88,10.88,10.87,10.87,-16.18,-16.18,-16.18,11.02,11.02,11.05,11.05,11.05,11.05,PASSED
105201610279,-15.58,-15.58,-15.58,-15.58,-15.58,-15.58,-16.03,-16.03,-16.03,-16.03,-16.03,1.06,1.06,1.06,1.06,1.06,-15.14,-15.14,-15.14,-15.14,-15.14,-15.14,-17.04,-17.04,-17.04,-17.04,-17.04,1.03,1.03,1.03,1.03,1.03,-16.31,-16.31,-16.31,10.78,10.78,10.95,10.95,10.69,10.69,-16.11,-16.11,-16.11,10.9,10.9,11.09,11.09,11.08,11.08,PASSED
105205110752,-15.25,-15.25,-15.25,-15.25,-15.25,-15.25,-16.41,-16.41,-16.41,-16.41,-16.41,1.14,1.14,1.14,1.14,1.14,-16.8,-16.8,-16.8,-16.8,-16.8,-16.8,-16.88,-16.88,-16.88,-16.88,-16.88,1.01,1.01,1.01,1.01,1.01,-16.63,-16.63,-16.63,10.76,10.76,11.19,11.19,11.19,11.19,-15.04,-15.04,-15.04,11.08,11.08,11.37,11.37,11.38,11.38,PASSED
105204610583,-18.54,-18.54,-18.54,-18.54,-18.54,-18.54,-18.55,-18.55,-18.55,-18.55,-18.55,0.52,0.52,0.52,0.52,0.52,-16.59,-16.59,-16.59,-16.59,-16.59,-16.59,-16.55,-16.55,-16.55,-16.55,-16.55,0.78,0.78,0.78,0.78,0.78,-16.36,-16.36,-16.36,11.07,11.07,11.06,11.06,11.05,11.05,-16.09,-16.09,-16.09,11.2,11.2,11.19,11.19,11.19,11.19,PASSED
105205210397,-15.56,-15.56,-15.56,-15.56,-15.56,-15.56,-15.14,-15.14,-15.14,-15.14,-15.14,1.09,1.09,1.09,1.09,1.09,-15.12,-15.12,-15.12,-15.12,-15.12,-15.12,-15.08,-15.08,-15.08,-15.08,-15.08,1.25,1.25,1.25,1.25,1.25,-17.19,-17.19,-17.19,10.83,10.83,11.13,11.13,10.7,10.7,-16.81,-16.81,-16.81,11.19,11.19,11.33,11.33,10.92,10.92,FAILED
105203410407,-15.6,-15.6,-15.6,-15.6,-15.6,-15.6,-15.01,-15.01,-15.01,-15.01,-15.01,0.91,0.91,0.91,0.91,0.91,-15.29,-15.29,-15.29,-15.29,-15.29,-15.29,-16.12,-16.12,-16.12,-16.12,-16.12,0.85,0.85,0.85,0.85,0.85,-16.82,-16.82,-16.82,10.85,10.85,10.9,10.9,10.59,10.59,-15.04,-15.04,-15.04,10.98,10.98,11.09,11.09,10.84,10.84,PASSED
105201510280,-15.38,-15.38,-15.38,-15.38,-15.38,-15.38,-16.22,-16.22,-16.22,-16.22,-16.22,1.03,1.03,1.03,1.03,1.03,-15.72,-15.72,-15.72,-15.72,-15.72,-15.72,-16.19,-16.19,-16.19,-16.19,-16.19,0.74,0.74,0.74,0.74,0.74,-16.56,-16.56,-16.56,10.74,10.74,11.17,11.17,11.17,11.17,-15.32,-15.32,-15.32,11.27,11.27,11.28,11.28,10.9,10.9,PASSED
